time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.278969812393188477e+01,-4.177217483520507812e-01,4.830359935760498047e+00,2.290676236152648926e-01,-1.447762727737426758e+00,5.024950027465820312e+00,1.244712769985198975e-01
1.279790568351745605e+01,-4.177217483520507812e-01,4.830359935760498047e+00,2.290676236152648926e-01,-1.447762727737426758e+00,5.024950027465820312e+00,1.244712769985198975e-01
1.281528353691101074e+01,8.377112579345703125e+01,7.157912254333496094e+00,7.474298477172851562e-01,8.075609588623046875e+01,7.905504226684570312e+00,-4.342212080955505371e-01
1.283380627632141113e+01,-1.219153308868408203e+01,1.495722866058349609e+01,3.785636425018310547e+00,-2.744598627090454102e+00,1.421034908294677734e+01,-3.398017168045043945e+00
1.285381555557250977e+01,-1.375131797790527344e+01,2.374792098999023438e+01,5.285754680633544922e+00,2.722623646259307861e-01,2.320591354370117188e+01,-4.453886508941650391e+00
1.287423443794250488e+01,-1.049709510803222656e+01,2.739768028259277344e+01,5.313321590423583984e+00,2.797583818435668945e+00,2.779387283325195312e+01,-4.599113941192626953e+00
1.289528656005859375e+01,-1.499908161163330078e+01,3.207114028930664062e+01,4.316339492797851562e+00,-3.419218063354492188e-01,3.119748306274414062e+01,-3.832631587982177734e+00
1.291528177261352539e+01,-1.203119564056396484e+01,3.217420959472656250e+01,2.888407468795776367e+00,2.190939664840698242e+00,3.605150222778320312e+01,-3.073966026306152344e+00
1.293536043167114258e+01,-5.215393543243408203e+00,2.674478149414062500e+01,1.296306729316711426e+00,5.383339881896972656e+00,3.619763946533203125e+01,-1.901235699653625488e+00
1.295544171333312988e+01,-1.217352628707885742e+00,1.980366516113281250e+01,-5.986300706863403320e-01,4.015380859375000000e+00,3.591370010375976562e+01,-1.283492706716060638e-02
1.297541546821594238e+01,1.755196690559387207e+00,1.270578575134277344e+01,-2.604126214981079102e+00,1.316536068916320801e+00,3.576230621337890625e+01,1.743723630905151367e+00
1.299519085884094238e+01,1.346441507339477539e+00,4.910114288330078125e+00,-4.666934490203857422e+00,1.025140509009361267e-01,3.556225967407226562e+01,2.948095083236694336e+00
1.301533198356628418e+01,-5.155876278877258301e-01,-2.124627351760864258e+00,-5.987792491912841797e+00,5.058979988098144531e-01,3.311790847778320312e+01,3.371997833251953125e+00
1.303537631034851074e+01,-3.787064552307128906e-01,-6.487221717834472656e+00,-6.261564731597900391e+00,3.374266326427459717e-01,2.925092124938964844e+01,3.179112434387207031e+00
1.305616474151611328e+01,5.802102014422416687e-02,-7.377035617828369141e+00,-5.690396308898925781e+00,-8.445017039775848389e-02,2.602304840087890625e+01,2.752052545547485352e+00
1.307613730430603027e+01,4.236287176609039307e-01,-6.768219470977783203e+00,-4.800124168395996094e+00,2.288953065872192383e-01,2.301902770996093750e+01,2.438146591186523438e+00
1.309638357162475586e+01,6.448333263397216797e-01,-5.544484615325927734e+00,-3.918321132659912109e+00,-1.836287140846252441e+00,2.030425262451171875e+01,1.841574907302856445e+00
1.311635470390319824e+01,1.653705000877380371e+00,-4.255096912384033203e+00,-3.049838066101074219e+00,-4.812302589416503906e+00,1.768154335021972656e+01,1.257341384887695312e+00
1.313607382774353027e+01,2.981222867965698242e+00,-3.192607879638671875e+00,-2.238029241561889648e+00,-8.026052474975585938e+00,1.517424011230468750e+01,6.131287813186645508e-01
1.315626311302185059e+01,4.410809040069580078e+00,-2.431678771972656250e+00,-1.579403996467590332e+00,-1.191278743743896484e+01,1.302528953552246094e+01,6.423480063676834106e-02
1.317636203765869141e+01,3.312002420425415039e+00,6.215949058532714844e-01,-9.074147343635559082e-01,-1.243001651763916016e+01,1.191414737701416016e+01,-6.561786532402038574e-01
1.319636654853820801e+01,2.874437570571899414e+00,4.650458335876464844e+00,-3.877881467342376709e-01,-6.573815822601318359e+00,1.388129711151123047e+01,-1.225049853324890137e+00
1.321632575988769531e+01,3.425179958343505859e+00,8.127980232238769531e+00,8.753308653831481934e-02,-2.592921733856201172e+00,1.643504905700683594e+01,-1.547268271446228027e+00
1.323684692382812500e+01,4.031960487365722656e+00,1.035791873931884766e+01,5.727634429931640625e-01,-5.046046972274780273e-01,1.840400695800781250e+01,-1.745942354202270508e+00
1.325658106803894043e+01,4.367889404296875000e+00,1.164649295806884766e+01,9.410760998725891113e-01,1.305726766586303711e+00,2.014187240600585938e+01,-1.967574834823608398e+00
1.327748560905456543e+01,4.533298015594482422e+00,1.192555522918701172e+01,1.077098608016967773e+00,3.681513786315917969e+00,2.084943771362304688e+01,-2.117788553237915039e+00
1.329711008071899414e+01,5.054574966430664062e+00,1.142804527282714844e+01,1.062380671501159668e+00,5.947440624237060547e+00,2.040937805175781250e+01,-2.198968172073364258e+00
1.331712627410888672e+01,5.653242588043212891e+00,1.058955192565917969e+01,1.028043746948242188e+00,7.593037128448486328e+00,1.944698333740234375e+01,-2.251300811767578125e+00
1.333748793601989746e+01,5.986792087554931641e+00,9.816480636596679688e+00,9.869467616081237793e-01,8.582425117492675781e+00,1.848430252075195312e+01,-2.272402048110961914e+00
1.335739850997924805e+01,6.014295101165771484e+00,9.251327514648437500e+00,9.215585589408874512e-01,9.166466712951660156e+00,1.764872169494628906e+01,-2.283095359802246094e+00
1.337739086151123047e+01,5.901021480560302734e+00,8.718345642089843750e+00,8.465791940689086914e-01,9.435151100158691406e+00,1.679201316833496094e+01,-2.289685964584350586e+00
1.339761400222778320e+01,5.807284355163574219e+00,8.171500205993652344e+00,7.755938172340393066e-01,9.312930107116699219e+00,1.575899505615234375e+01,-2.344616889953613281e+00
1.341740393638610840e+01,5.626978397369384766e+00,7.588929653167724609e+00,7.063189148902893066e-01,9.198846817016601562e+00,1.478376197814941406e+01,-2.334652185440063477e+00
1.343781685829162598e+01,5.582353115081787109e+00,7.227495670318603516e+00,6.647131443023681641e-01,8.909433364868164062e+00,1.392496013641357422e+01,-2.402740001678466797e+00
1.345763492584228516e+01,5.491949558258056641e+00,6.684964656829833984e+00,5.847533941268920898e-01,8.566263198852539062e+00,1.295896816253662109e+01,-2.377795696258544922e+00
1.347804379463195801e+01,5.426585674285888672e+00,6.236674785614013672e+00,4.880089461803436279e-01,8.057125091552734375e+00,1.205093479156494141e+01,-2.362173318862915039e+00
1.349829554557800293e+01,5.521475791931152344e+00,5.795122623443603516e+00,4.156754016876220703e-01,7.548951625823974609e+00,1.114691734313964844e+01,-2.339736223220825195e+00
1.351843523979187012e+01,5.668215274810791016e+00,5.532818317413330078e+00,3.742986023426055908e-01,6.912172317504882812e+00,1.048522281646728516e+01,-2.380379676818847656e+00
1.353833842277526855e+01,5.709479331970214844e+00,5.314229488372802734e+00,3.493002057075500488e-01,6.405790805816650391e+00,9.955000877380371094e+00,-2.390833616256713867e+00
1.355868649482727051e+01,5.749757289886474609e+00,5.170177936553955078e+00,3.444902300834655762e-01,5.916798591613769531e+00,9.514701843261718750e+00,-2.418456315994262695e+00
1.357872056961059570e+01,5.814653873443603516e+00,5.083526134490966797e+00,3.505400717258453369e-01,5.554668426513671875e+00,9.215003013610839844e+00,-2.430458068847656250e+00
1.359862112998962402e+01,5.877750873565673828e+00,5.043218612670898438e+00,3.643361628055572510e-01,5.182511329650878906e+00,8.969675064086914062e+00,-2.456088781356811523e+00
