time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.776142597198486328e+01,-1.200000000000000000e+01,5.658672332763671875e+00,-2.633559465408325195e+00,-1.968750000000000000e+00,4.073741436004638672e+00,-1.482993841171264648e+00
1.776825475692749023e+01,-1.143750000000000000e+01,5.658672332763671875e+00,-2.633559465408325195e+00,-1.875000000000000000e+00,4.017248630523681641e+00,-1.436014890670776367e+00
1.778657388687133789e+01,5.446875000000000000e+01,7.650465965270996094e+00,-7.488482594490051270e-01,5.503125000000000000e+01,6.483124732971191406e+00,-2.126177310943603516e+00
1.780543661117553711e+01,-3.000000000000000000e+01,1.455498027801513672e+01,2.764670372009277344e+00,-1.350000000000000000e+01,1.556492233276367188e+01,-3.991610050201416016e+00
1.782554459571838379e+01,-3.065625000000000000e+01,1.605756187438964844e+01,4.815843105316162109e+00,-1.040625000000000000e+01,1.307915401458740234e+01,-4.536255836486816406e+00
1.784485459327697754e+01,-1.378125000000000000e+01,2.747864151000976562e+01,4.116544723510742188e+00,3.656250000000000000e+00,2.147916030883789062e+01,-3.828141450881958008e+00
1.786522126197814941e+01,-1.771875000000000000e+01,3.182543563842773438e+01,4.050307273864746094e+00,6.562500000000000000e+00,2.323455238342285156e+01,-5.020878314971923828e+00
1.788554906845092773e+01,-1.753125000000000000e+01,3.759416580200195312e+01,1.647082567214965820e+00,6.750000000000000000e+00,2.643346595764160156e+01,-3.008175611495971680e+00
1.790559053421020508e+01,-1.809375000000000000e+01,3.726728820800781250e+01,2.042112350463867188e+00,9.843750000000000000e+00,2.404561614990234375e+01,-1.567600607872009277e+00
1.792603421211242676e+01,-1.396875000000000000e+01,3.658440399169921875e+01,2.087699890136718750e+00,1.443750000000000000e+01,2.268624114990234375e+01,-1.055102825164794922e+00
1.794569849967956543e+01,-6.187500000000000000e+00,3.567620849609375000e+01,1.328503251075744629e+00,1.668750000000000000e+01,2.404648208618164062e+01,-9.900558590888977051e-01
