time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.481683921813964844e+01,-1.050000000000000000e+01,7.143625736236572266e+00,-3.071984529495239258e+00,7.500000000000000000e-01,4.265095233917236328e+00,-1.433791279792785645e+00
1.482374143600463867e+01,-1.096875000000000000e+01,7.143625736236572266e+00,-3.071984529495239258e+00,1.406250000000000000e+00,4.151226520538330078e+00,-1.434812903404235840e+00
1.484258532524108887e+01,5.512500000000000000e+01,9.658896446228027344e+00,-2.051309585571289062e+00,6.009375000000000000e+01,7.054398536682128906e+00,-1.551222801208496094e+00
1.486050176620483398e+01,-2.915625000000000000e+01,1.525429153442382812e+01,2.637145280838012695e+00,-1.003125000000000000e+01,1.524587726593017578e+01,-3.567101001739501953e+00
1.488092064857482910e+01,-3.206250000000000000e+01,1.648536491394042969e+01,4.726587295532226562e+00,-1.134375000000000000e+01,1.381817531585693359e+01,-4.862025737762451172e+00
1.490163803100585938e+01,-1.828125000000000000e+01,2.576286888122558594e+01,4.803874492645263672e+00,1.687500000000000000e+00,2.061708068847656250e+01,-5.026769638061523438e+00
1.492112612724304199e+01,-1.696875000000000000e+01,3.173701095581054688e+01,4.362627029418945312e+00,6.281250000000000000e+00,2.314722824096679688e+01,-5.356151580810546875e+00
1.494165015220642090e+01,-2.006250000000000000e+01,3.626885604858398438e+01,2.403962135314941406e+00,7.687500000000000000e+00,2.343298530578613281e+01,-4.338870048522949219e+00
1.496107053756713867e+01,-2.165625000000000000e+01,3.856240844726562500e+01,1.538867592811584473e+00,9.468750000000000000e+00,2.148804664611816406e+01,-3.082598447799682617e+00
1.498162770271301270e+01,-1.753125000000000000e+01,3.776216888427734375e+01,1.257959008216857910e+00,1.387500000000000000e+01,1.697769927978515625e+01,-1.996960997581481934e+00
1.500174212455749512e+01,-1.003125000000000000e+01,3.749757766723632812e+01,4.082042872905731201e-01,1.359375000000000000e+01,1.367687416076660156e+01,-1.199973940849304199e+00
1.502174091339111328e+01,-4.218750000000000000e+00,3.687433624267578125e+01,9.003847241401672363e-01,1.303125000000000000e+01,1.186179161071777344e+01,-8.504594564437866211e-01
1.504189586639404297e+01,-4.687500000000000000e-01,3.618202972412109375e+01,1.427884340286254883e+00,1.303125000000000000e+01,1.158381080627441406e+01,-6.647545695304870605e-01
1.506172561645507812e+01,1.218750000000000000e+00,3.652184295654296875e+01,1.709156155586242676e+00,1.265625000000000000e+01,1.292992210388183594e+01,-7.690488696098327637e-01
1.508165240287780762e+01,6.562500000000000000e-01,3.663441848754882812e+01,1.992473721504211426e+00,1.096875000000000000e+01,1.536569118499755859e+01,-9.588111639022827148e-01
1.510187697410583496e+01,2.812500000000000000e-01,3.674698638916015625e+01,2.275791406631469727e+00,9.281250000000000000e+00,1.777319717407226562e+01,-1.320593595504760742e+00
1.512145495414733887e+01,1.218750000000000000e+00,3.674559020996093750e+01,2.654910564422607422e+00,8.625000000000000000e+00,2.001294136047363281e+01,-1.645988106727600098e+00
1.514262485504150391e+01,1.593750000000000000e+00,3.674419021606445312e+01,3.034031391143798828e+00,6.187500000000000000e+00,2.169018936157226562e+01,-2.028903245925903320e+00
1.516264414787292480e+01,1.500000000000000000e+00,3.662987136840820312e+01,3.224611520767211914e+00,6.562500000000000000e+00,2.207733726501464844e+01,-2.255489587783813477e+00
1.518255448341369629e+01,3.750000000000000000e+00,3.640227890014648438e+01,3.321436643600463867e+00,4.500000000000000000e+00,2.185595703125000000e+01,-2.467544555664062500e+00
1.520226979255676270e+01,5.062500000000000000e+00,3.608386993408203125e+01,3.380143642425537109e+00,7.500000000000000000e+00,2.128572654724121094e+01,-2.704939126968383789e+00
1.522275543212890625e+01,5.625000000000000000e+00,3.533684921264648438e+01,3.386844396591186523e+00,1.021875000000000000e+01,1.973304367065429688e+01,-2.739213943481445312e+00
1.524260401725769043e+01,7.218750000000000000e+00,3.330374145507812500e+01,3.305142402648925781e+00,9.468750000000000000e+00,1.845859527587890625e+01,-3.180632352828979492e+00
1.526305413246154785e+01,7.593750000000000000e+00,2.957103729248046875e+01,3.207623720169067383e+00,7.593750000000000000e+00,1.751366424560546875e+01,-3.189564704895019531e+00
1.528323125839233398e+01,7.031250000000000000e+00,2.708234024047851562e+01,3.142613887786865234e+00,6.281250000000000000e+00,1.673341560363769531e+01,-3.333420276641845703e+00
1.530314564704895020e+01,6.937500000000000000e+00,2.527248764038085938e+01,3.069409370422363281e+00,6.187500000000000000e+00,1.623350334167480469e+01,-3.315398931503295898e+00
1.532364988327026367e+01,6.093750000000000000e+00,2.399434661865234375e+01,2.819564104080200195e+00,6.468750000000000000e+00,1.578848552703857422e+01,-3.342352151870727539e+00
1.534309363365173340e+01,5.625000000000000000e+00,2.303414344787597656e+01,2.786705255508422852e+00,5.906250000000000000e+00,1.517585182189941406e+01,-3.427757263183593750e+00
1.536382579803466797e+01,5.625000000000000000e+00,2.258318519592285156e+01,2.603335857391357422e+00,6.093750000000000000e+00,1.517731857299804688e+01,-3.331069469451904297e+00
1.538317298889160156e+01,6.281250000000000000e+00,2.207445144653320312e+01,2.658699035644531250e+00,7.218750000000000000e+00,1.517585182189941406e+01,-3.427757263183593750e+00
1.540373563766479492e+01,6.093750000000000000e+00,2.210418891906738281e+01,2.633316993713378906e+00,8.343750000000000000e+00,1.556744289398193359e+01,-3.259142160415649414e+00
1.542366886138916016e+01,7.125000000000000000e+00,2.221376991271972656e+01,2.631267547607421875e+00,8.718750000000000000e+00,1.595610046386718750e+01,-3.283901214599609375e+00
1.544361853599548340e+01,7.781250000000000000e+00,2.277745628356933594e+01,2.715935945510864258e+00,1.087500000000000000e+01,1.651237297058105469e+01,-3.250210285186767578e+00
1.546359920501708984e+01,7.593750000000000000e+00,2.311603546142578125e+01,2.709600687026977539e+00,1.078125000000000000e+01,1.684467124938964844e+01,-3.326681613922119141e+00
1.548365235328674316e+01,7.500000000000000000e+00,2.322828292846679688e+01,2.802716732025146484e+00,1.143750000000000000e+01,1.720355033874511719e+01,-3.229154348373413086e+00
1.550369811058044434e+01,8.156250000000000000e+00,2.311664772033691406e+01,2.614373683929443359e+00,1.115625000000000000e+01,1.753389167785644531e+01,-3.408025264739990234e+00
1.552392601966857910e+01,7.125000000000000000e+00,2.266520881652832031e+01,2.622820615768432617e+00,1.115625000000000000e+01,1.753518676757812500e+01,-3.311163902282714844e+00
1.554371857643127441e+01,6.750000000000000000e+00,2.226989364624023438e+01,2.677825212478637695e+00,1.134375000000000000e+01,1.753518676757812500e+01,-3.311163902282714844e+00
1.556405782699584961e+01,6.843750000000000000e+00,2.232601737976074219e+01,2.724382638931274414e+00,1.115625000000000000e+01,1.775717735290527344e+01,-3.298555374145507812e+00
1.558412003517150879e+01,5.906250000000000000e+00,2.232601737976074219e+01,2.724382638931274414e+00,1.087500000000000000e+01,1.786817359924316406e+01,-3.292250871658325195e+00
1.560398459434509277e+01,5.906250000000000000e+00,2.260847282409667969e+01,2.671489953994750977e+00,1.096875000000000000e+01,1.808887100219726562e+01,-3.376504659652709961e+00
1.562456655502319336e+01,5.437500000000000000e+00,2.306764030456542969e+01,2.758114814758300781e+00,1.096875000000000000e+01,1.864255332946777344e+01,-3.441846609115600586e+00
1.564443159103393555e+01,5.812500000000000000e+00,2.337694549560546875e+01,2.726120948791503906e+00,1.143750000000000000e+01,1.943109321594238281e+01,-3.482760190963745117e+00
1.566462159156799316e+01,5.812500000000000000e+00,2.416683197021484375e+01,2.899172544479370117e+00,1.143750000000000000e+01,2.020717430114746094e+01,-3.535120248794555664e+00
1.568498015403747559e+01,4.875000000000000000e+00,2.484516334533691406e+01,2.884461641311645508e+00,1.143750000000000000e+01,2.120266532897949219e+01,-3.794098615646362305e+00
1.570486140251159668e+01,4.125000000000000000e+00,2.552199363708496094e+01,3.059966087341308594e+00,1.181250000000000000e+01,2.187001419067382812e+01,-3.663058280944824219e+00
1.572520995140075684e+01,5.156250000000000000e+00,2.603036880493164062e+01,3.096486806869506836e+00,1.115625000000000000e+01,2.242398452758789062e+01,-3.731290817260742188e+00
1.574495124816894531e+01,4.312500000000000000e+00,2.619957733154296875e+01,3.140361785888671875e+00,1.256250000000000000e+01,2.270214462280273438e+01,-3.668626070022583008e+00
1.576517868041992188e+01,4.218750000000000000e+00,2.659564590454101562e+01,3.084226131439208984e+00,1.303125000000000000e+01,2.281317329406738281e+01,-3.662915468215942383e+00
1.578589940071105957e+01,4.406250000000000000e+00,2.665104675292968750e+01,3.225661754608154297e+00,1.218750000000000000e+01,2.281317329406738281e+01,-3.662915468215942383e+00
1.580575418472290039e+01,4.593750000000000000e+00,2.690443992614746094e+01,3.125074625015258789e+00,1.246875000000000000e+01,2.286810111999511719e+01,-3.708451747894287109e+00
1.582523369789123535e+01,3.656250000000000000e+00,2.690370178222656250e+01,3.220182895660400391e+00,1.256250000000000000e+01,2.303523254394531250e+01,-3.651496887207031250e+00
1.584592628479003906e+01,3.187500000000000000e+00,2.707453346252441406e+01,3.168932199478149414e+00,1.331250000000000000e+01,2.320118713378906250e+01,-3.691323280334472656e+00
1.586603069305419922e+01,4.125000000000000000e+00,2.713098526000976562e+01,3.215253591537475586e+00,1.284375000000000000e+01,2.314508438110351562e+01,-3.742569208145141602e+00
1.588563919067382812e+01,3.187500000000000000e+00,2.764200782775878906e+01,3.251716136932373047e+00,1.256250000000000000e+01,2.353192138671875000e+01,-3.867758035659790039e+00
1.590529203414916992e+01,3.093750000000000000e+00,2.781589698791503906e+01,3.386812925338745117e+00,1.246875000000000000e+01,2.380890655517578125e+01,-3.901875495910644531e+00
1.592580914497375488e+01,2.625000000000000000e+00,2.842614364624023438e+01,3.195038557052612305e+00,1.265625000000000000e+01,2.414316940307617188e+01,-3.787964105606079102e+00
1.594586992263793945e+01,2.625000000000000000e+00,2.882177925109863281e+01,3.329020738601684570e+00,1.293750000000000000e+01,2.458610916137695312e+01,-3.861907243728637695e+00
1.596601581573486328e+01,1.968750000000000000e+00,2.933158493041992188e+01,3.365695238113403320e+00,1.293750000000000000e+01,2.497294807434082031e+01,-3.987097024917602539e+00
1.598601889610290527e+01,2.250000000000000000e+00,2.984217643737792969e+01,3.307454109191894531e+00,1.368750000000000000e+01,2.525110816955566406e+01,-3.924430608749389648e+00
1.600649976730346680e+01,2.906250000000000000e+00,3.018152046203613281e+01,3.395179033279418945e+00,1.284375000000000000e+01,2.536096191406250000e+01,-4.015503883361816406e+00
1.602664232254028320e+01,1.781250000000000000e+00,3.035119056701660156e+01,3.439039945602416992e+00,1.368750000000000000e+01,2.558301925659179688e+01,-4.004084110260009766e+00
1.604708337783813477e+01,1.406250000000000000e+00,3.035119056701660156e+01,3.439039945602416992e+00,1.284375000000000000e+01,2.541588783264160156e+01,-4.061039924621582031e+00
1.606702661514282227e+01,1.406250000000000000e+00,3.040827369689941406e+01,3.390385627746582031e+00,1.284375000000000000e+01,2.536096191406250000e+01,-4.015503883361816406e+00
1.608780288696289062e+01,9.375000000000000000e-01,3.029489707946777344e+01,3.392781257629394531e+00,1.359375000000000000e+01,2.525110816955566406e+01,-3.924430608749389648e+00
1.610689377784729004e+01,3.750000000000000000e-01,3.061800765991210938e+01,3.528296232223510742e+00,1.293750000000000000e+01,2.554551506042480469e+01,-4.038341522216796875e+00
1.612687635421752930e+01,-1.218750000000000000e+00,3.067537117004394531e+01,3.479635953903198242e+00,1.350000000000000000e+01,2.587714576721191406e+01,-4.168369293212890625e+00
1.614705562591552734e+01,-2.062500000000000000e+00,3.084590530395507812e+01,3.523481130599975586e+00,1.350000000000000000e+01,2.604534912109375000e+01,-4.015613555908203125e+00
1.616755270957946777e+01,-2.625000000000000000e+00,3.113038825988769531e+01,3.564914703369140625e+00,1.303125000000000000e+01,2.639997673034667969e+01,-3.980776071548461914e+00
1.618779969215393066e+01,-2.625000000000000000e+00,3.141564941406250000e+01,3.511439323425292969e+00,1.331250000000000000e+01,2.662035560607910156e+01,-4.163595676422119141e+00
1.620763659477233887e+01,-3.000000000000000000e+00,3.169935417175292969e+01,3.647785663604736328e+00,1.303125000000000000e+01,2.673149681091308594e+01,-4.158403396606445312e+00
1.622761368751525879e+01,-2.625000000000000000e+00,3.204198074340820312e+01,3.545649290084838867e+00,1.321875000000000000e+01,2.684263801574707031e+01,-4.153211593627929688e+00
1.624764990806579590e+01,-3.093750000000000000e+00,3.221251296997070312e+01,3.589492797851562500e+00,1.396875000000000000e+01,2.695377540588378906e+01,-4.148018836975097656e+00
1.626803159713745117e+01,-3.000000000000000000e+00,3.204120254516601562e+01,3.640560388565063477e+00,1.340625000000000000e+01,2.700887107849121094e+01,-4.193724155426025391e+00
1.628786015510559082e+01,-2.343750000000000000e+00,3.192647361755371094e+01,3.737881660461425781e+00,1.378125000000000000e+01,2.716976737976074219e+01,-4.229808330535888672e+00
1.630760097503662109e+01,-3.843750000000000000e+00,3.141409301757812500e+01,3.701263427734375000e+00,1.331250000000000000e+01,2.719219398498535156e+01,-4.209568977355957031e+00
1.632789158821105957e+01,-3.750000000000000000e+00,3.073118019104003906e+01,3.620801448822021484e+00,1.331250000000000000e+01,2.680166244506835938e+01,-4.275462627410888672e+00
1.634795236587524414e+01,-3.468750000000000000e+00,2.987694931030273438e+01,3.591406583786010742e+00,1.378125000000000000e+01,2.613301467895507812e+01,-4.305803775787353516e+00
1.636858177185058594e+01,-3.656250000000000000e+00,2.887649536132812500e+01,3.565104007720947266e+00,1.425000000000000000e+01,2.533262443542480469e+01,-4.264015197753906250e+00
1.638847517967224121e+01,-4.031250000000000000e+00,2.780138397216796875e+01,3.350588083267211914e+00,1.312500000000000000e+01,2.477574920654296875e+01,-4.288999557495117188e+00
1.640834283828735352e+01,-4.406250000000000000e+00,2.695705795288085938e+01,3.222082614898681641e+00,1.256250000000000000e+01,2.388583755493164062e+01,-4.232488632202148438e+00
1.642850327491760254e+01,-4.500000000000000000e+00,2.581899452209472656e+01,3.155461788177490234e+00,1.303125000000000000e+01,2.294078063964843750e+01,-4.130230903625488281e+00
1.644852757453918457e+01,-4.500000000000000000e+00,2.502348136901855469e+01,2.985352516174316406e+00,1.246875000000000000e+01,2.228780937194824219e+01,-4.172888755798339844e+00
1.646899652481079102e+01,-6.000000000000000000e+00,2.445401382446289062e+01,2.999532222747802734e+00,1.228125000000000000e+01,2.162192153930664062e+01,-4.107439517974853516e+00
1.648859524726867676e+01,-5.156250000000000000e+00,2.377239227294921875e+01,2.826586961746215820e+00,1.190625000000000000e+01,2.095508384704589844e+01,-4.138592720031738281e+00
1.650880312919616699e+01,-6.187500000000000000e+00,2.320466423034667969e+01,2.650806188583374023e+00,1.134375000000000000e+01,2.012201118469238281e+01,-4.129233360290527344e+00
1.652972769737243652e+01,-6.375000000000000000e+00,2.235177040100097656e+01,2.529604911804199219e+00,9.187500000000000000e+00,1.940007781982421875e+01,-4.114681720733642578e+00
1.654956078529357910e+01,-6.937500000000000000e+00,2.189706420898437500e+01,2.445967674255371094e+00,9.187500000000000000e+00,1.879023361206054688e+01,-3.998335361480712891e+00
1.656942176818847656e+01,-6.656250000000000000e+00,2.127195549011230469e+01,2.319094657897949219e+00,9.656250000000000000e+00,1.817849159240722656e+01,-4.075193881988525391e+00
1.658884739875793457e+01,-6.937500000000000000e+00,2.087376403808593750e+01,2.281530380249023438e+00,9.562500000000000000e+00,1.756769752502441406e+01,-4.055449962615966797e+00
1.660958099365234375e+01,-5.812500000000000000e+00,2.076074028015136719e+01,2.189386367797851562e+00,1.003125000000000000e+01,1.751165199279785156e+01,-4.106347084045410156e+00
1.662890553474426270e+01,-6.656250000000000000e+00,2.070422744750976562e+01,2.143313646316528320e+00,9.468750000000000000e+00,1.723522758483886719e+01,-3.974424362182617188e+00
1.664878010749816895e+01,-6.375000000000000000e+00,2.081812095642089844e+01,2.140478610992431641e+00,9.468750000000000000e+00,1.723522758483886719e+01,-3.974424362182617188e+00
1.666958379745483398e+01,-6.375000000000000000e+00,2.093201446533203125e+01,2.137641906738281250e+00,9.750000000000000000e+00,1.723522758483886719e+01,-3.974424362182617188e+00
1.668966412544250488e+01,-6.375000000000000000e+00,2.104504013061523438e+01,2.229786634445190430e+00,9.375000000000000000e+00,1.712408828735351562e+01,-3.979617118835449219e+00
1.670981788635253906e+01,-6.750000000000000000e+00,2.115893173217773438e+01,2.226950645446777344e+00,9.375000000000000000e+00,1.718013191223144531e+01,-3.928719520568847656e+00
1.672988772392272949e+01,-6.843750000000000000e+00,2.098852729797363281e+01,2.183713912963867188e+00,9.562500000000000000e+00,1.690275764465332031e+01,-3.893398761749267578e+00
1.674964976310729980e+01,-6.843750000000000000e+00,2.115893173217773438e+01,2.226950645446777344e+00,9.656250000000000000e+00,1.695785331726074219e+01,-3.939103603363037109e+00
1.677000713348388672e+01,-6.750000000000000000e+00,2.127369308471679688e+01,2.129135131835937500e+00,9.750000000000000000e+00,1.684671401977539062e+01,-3.944296360015869141e+00
1.678975701332092285e+01,-7.031250000000000000e+00,2.121631240844726562e+01,2.178042888641357422e+00,9.750000000000000000e+00,1.684671401977539062e+01,-3.944296360015869141e+00
1.680988168716430664e+01,-6.187500000000000000e+00,2.150061225891113281e+01,2.218443155288696289e+00,9.937500000000000000e+00,1.706899261474609375e+01,-3.933912277221679688e+00
1.682996606826782227e+01,-6.375000000000000000e+00,2.172752761840820312e+01,2.307751178741455078e+00,9.562500000000000000e+00,1.723522758483886719e+01,-3.974424362182617188e+00
1.685037064552307129e+01,-7.593750000000000000e+00,2.168768882751464844e+01,2.435948133468627930e+00,9.750000000000000000e+00,1.712408828735351562e+01,-3.979617118835449219e+00
1.687042856216430664e+01,-7.406250000000000000e+00,2.219824218750000000e+01,2.187916755676269531e+00,9.656250000000000000e+00,1.734636688232421875e+01,-3.969231843948364258e+00
1.689054656028747559e+01,-7.687500000000000000e+00,2.199640083312988281e+01,2.214031219482421875e+00,9.375000000000000000e+00,1.726391983032226562e+01,-4.095616817474365234e+00
1.691093015670776367e+01,-8.250000000000000000e+00,2.239326477050781250e+01,2.251776218414306641e+00,9.843750000000000000e+00,1.759804534912109375e+01,-4.080625534057617188e+00
1.693079876899719238e+01,-9.187500000000000000e+00,2.250678634643554688e+01,2.249019861221313477e+00,9.562500000000000000e+00,1.754181480407714844e+01,-4.131368160247802734e+00
