time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.292033672332763672e+01,-4.267453551292419434e-01,4.826413631439208984e+00,2.318705320358276367e-01,-1.448798298835754395e+00,5.014986515045166016e+00,1.194770410656929016e-01
1.292727065086364746e+01,-4.267453551292419434e-01,4.826413631439208984e+00,2.318705320358276367e-01,-1.448798298835754395e+00,5.014986515045166016e+00,1.194770410656929016e-01
1.294729638099670410e+01,9.727786254882812500e+01,6.564918518066406250e+00,7.496474385261535645e-01,9.288888549804687500e+01,7.227227687835693359e+00,-3.481652140617370605e-01
1.296548914909362793e+01,-2.024677658081054688e+01,1.418666744232177734e+01,3.727932214736938477e+00,-8.232481002807617188e+00,1.369184494018554688e+01,-3.364134788513183594e+00
1.298566722869873047e+01,-1.779303359985351562e+01,2.303606986999511719e+01,5.166530609130859375e+00,-2.139618873596191406e+00,2.397474098205566406e+01,-4.488430500030517578e+00
1.300515317916870117e+01,-9.776045799255371094e+00,2.842372894287109375e+01,5.629136085510253906e+00,3.994053602218627930e+00,2.763820648193359375e+01,-4.652781963348388672e+00
1.302520489692687988e+01,-1.603206253051757812e+01,3.199623107910156250e+01,4.450433254241943359e+00,-2.999184370040893555e+00,3.085353469848632812e+01,-3.801242828369140625e+00
1.304498958587646484e+01,-1.029464340209960938e+01,2.899266242980957031e+01,2.627641201019287109e+00,1.408181432634592056e-02,3.529384994506835938e+01,-3.052878618240356445e+00
1.306485319137573242e+01,-6.877823829650878906e+00,2.791331291198730469e+01,8.878210783004760742e-01,4.238827705383300781e+00,3.520138931274414062e+01,-1.423584818840026855e+00
1.308506631851196289e+01,-1.409106612205505371e+00,2.020170593261718750e+01,-9.838608503341674805e-01,3.381363868713378906e+00,3.561944580078125000e+01,3.286828696727752686e-01
1.310558438301086426e+01,1.453675508499145508e+00,1.331208896636962891e+01,-2.814352273941040039e+00,2.944543600082397461e+00,3.569657135009765625e+01,1.812723040580749512e+00
1.312643194198608398e+01,1.036260128021240234e+00,6.136734485626220703e+00,-4.848976135253906250e+00,1.382450699806213379e+00,3.556693649291992188e+01,2.950469017028808594e+00
1.314655065536499023e+01,-4.612510204315185547e-01,-1.013046860694885254e+00,-6.240012645721435547e+00,6.515320539474487305e-01,3.441731643676757812e+01,3.342523813247680664e+00
1.316685891151428223e+01,-1.380238175392150879e+00,-6.174777507781982422e+00,-6.449090003967285156e+00,1.254819035530090332e+00,2.967430496215820312e+01,3.219227790832519531e+00
1.318626308441162109e+01,-6.832674145698547363e-01,-8.528920173645019531e+00,-5.932877540588378906e+00,8.560765385627746582e-01,2.483751869201660156e+01,2.923839569091796875e+00
1.320610475540161133e+01,4.662273526191711426e-01,-7.790725231170654297e+00,-4.892988681793212891e+00,-3.355462849140167236e-01,2.103904724121093750e+01,2.367362499237060547e+00
1.322614789009094238e+01,9.818819165229797363e-01,-6.132408618927001953e+00,-3.814182996749877930e+00,-2.517966985702514648e+00,1.804889106750488281e+01,1.710281729698181152e+00
1.324649930000305176e+01,1.844614744186401367e+00,-4.376182556152343750e+00,-2.776208877563476562e+00,-5.407926559448242188e+00,1.536300468444824219e+01,9.583696126937866211e-01
1.326670932769775391e+01,3.233840703964233398e+00,-3.110491514205932617e+00,-1.895011782646179199e+00,-8.548084259033203125e+00,1.306329536437988281e+01,2.736291885375976562e-01
1.328644132614135742e+01,1.015920639038085938e+00,-2.492447048425674438e-01,-1.187454104423522949e+00,-1.042429637908935547e+01,1.134996223449707031e+01,-4.563657343387603760e-01
1.330699634552001953e+01,2.433605909347534180e+00,3.383217811584472656e+00,-5.369918942451477051e-01,-1.430086898803710938e+01,1.286430931091308594e+01,-1.178772330284118652e+00
1.332709288597106934e+01,2.239342451095581055e+00,7.193491458892822266e+00,-2.458670176565647125e-02,-8.510122299194335938e+00,1.512529277801513672e+01,-1.646148324012756348e+00
1.334629225730895996e+01,2.397653341293334961e+00,9.844327926635742188e+00,4.380683004856109619e-01,-3.497224807739257812e+00,1.726628875732421875e+01,-1.926862001419067383e+00
1.336661195755004883e+01,2.665017843246459961e+00,1.215044212341308594e+01,8.334829211235046387e-01,-1.085362792015075684e+00,1.966204833984375000e+01,-2.125884771347045898e+00
1.338885807991027832e+01,3.980235099792480469e+00,1.315227222442626953e+01,1.121547579765319824e+00,1.220060467720031738e+00,2.101172256469726562e+01,-2.312595129013061523e+00
1.340818119049072266e+01,4.825017929077148438e+00,1.281215000152587891e+01,1.243287324905395508e+00,4.733438014984130859e+00,2.100976753234863281e+01,-2.420469999313354492e+00
1.342766118049621582e+01,4.972035408020019531e+00,1.213158035278320312e+01,1.135958909988403320e+00,6.444453716278076172e+00,2.053825950622558594e+01,-2.387857675552368164e+00
1.344888281822204590e+01,5.571591377258300781e+00,1.136760616302490234e+01,1.081805109977722168e+00,7.625566005706787109e+00,1.977411079406738281e+01,-2.389626026153564453e+00
1.346741676330566406e+01,6.002083301544189453e+00,1.042025852203369141e+01,1.033425211906433105e+00,8.707302093505859375e+00,1.868560600280761719e+01,-2.395775556564331055e+00
1.348767399787902832e+01,5.875674724578857422e+00,9.637874603271484375e+00,9.244384765625000000e-01,9.326578140258789062e+00,1.764917564392089844e+01,-2.377149820327758789e+00
1.350757098197937012e+01,5.841808795928955078e+00,8.888964653015136719e+00,8.112536072731018066e-01,9.575353622436523438e+00,1.652687454223632812e+01,-2.355837583541870117e+00
1.352776098251342773e+01,5.857216835021972656e+00,8.279659271240234375e+00,7.282940745353698730e-01,9.530473709106445312e+00,1.552357482910156250e+01,-2.352927923202514648e+00
1.354788541793823242e+01,5.734645843505859375e+00,7.736771106719970703e+00,6.569474935531616211e-01,9.245300292968750000e+00,1.445105934143066406e+01,-2.418347120285034180e+00
1.356918549537658691e+01,5.559395313262939453e+00,7.190951347351074219e+00,5.893548130989074707e-01,9.093774795532226562e+00,1.351187133789062500e+01,-2.407204866409301758e+00
1.358906459808349609e+01,5.482379913330078125e+00,6.820063591003417969e+00,5.302439928054809570e-01,8.566371917724609375e+00,1.263328552246093750e+01,-2.464504718780517578e+00
1.360998654365539551e+01,5.317871093750000000e+00,6.230089187622070312e+00,4.362863302230834961e-01,8.094435691833496094e+00,1.166028976440429688e+01,-2.425538063049316406e+00
1.362928342819213867e+01,5.435431480407714844e+00,5.864444732666015625e+00,3.708959817886352539e-01,7.592320919036865234e+00,1.084891223907470703e+01,-2.424071788787841797e+00
1.364902758598327637e+01,5.531888961791992188e+00,5.540596961975097656e+00,3.362499177455902100e-01,6.972235202789306641e+00,1.014912891387939453e+01,-2.413668394088745117e+00
1.366930389404296875e+01,5.555282592773437500e+00,5.325034141540527344e+00,3.072842359542846680e-01,6.386951446533203125e+00,9.621067047119140625e+00,-2.435335159301757812e+00
1.368954706192016602e+01,5.563849925994873047e+00,5.104366302490234375e+00,2.895684540271759033e-01,5.909027099609375000e+00,9.098540306091308594e+00,-2.451376438140869141e+00
1.370946955680847168e+01,5.639468193054199219e+00,4.968434810638427734e+00,2.528074681758880615e-01,5.694767951965332031e+00,8.730091094970703125e+00,-2.468813657760620117e+00
1.372971653938293457e+01,5.752878189086914062e+00,4.988219738006591797e+00,2.945252358913421631e-01,5.272435665130615234e+00,8.560771942138671875e+00,-2.495157480239868164e+00
1.375021910667419434e+01,5.810068130493164062e+00,4.966356754302978516e+00,3.338109552860260010e-01,4.910384654998779297e+00,8.388210296630859375e+00,-2.516035795211791992e+00
1.377080631256103516e+01,5.906160831451416016e+00,4.982013225555419922e+00,3.580872714519500732e-01,4.636610507965087891e+00,8.269710540771484375e+00,-2.530476093292236328e+00
1.379154729843139648e+01,5.969991207122802734e+00,4.952658653259277344e+00,3.514081835746765137e-01,4.463627338409423828e+00,8.136903762817382812e+00,-2.542061090469360352e+00
1.381169104576110840e+01,5.975082397460937500e+00,4.936593055725097656e+00,3.693660497665405273e-01,4.257925987243652344e+00,8.013720512390136719e+00,-2.553773164749145508e+00
1.383115434646606445e+01,6.018617153167724609e+00,4.937862396240234375e+00,3.833861052989959717e-01,4.092041015625000000e+00,7.919038295745849609e+00,-2.564645767211914062e+00
1.385079264640808105e+01,6.090370178222656250e+00,4.955714225769042969e+00,4.012446105480194092e-01,3.912163019180297852e+00,7.852862834930419922e+00,-2.591890573501586914e+00
1.387097072601318359e+01,6.090370178222656250e+00,4.955714225769042969e+00,4.012446105480194092e-01,3.912163019180297852e+00,7.852862834930419922e+00,-2.591890573501586914e+00
1.389085674285888672e+01,5.938198566436767578e+00,4.992698669433593750e+00,3.823121190071105957e-01,3.858588933944702148e+00,7.819370269775390625e+00,-2.599590778350830078e+00
1.391138482093811035e+01,6.032129287719726562e+00,4.993239402770996094e+00,4.228198230266571045e-01,3.818773031234741211e+00,7.755943775177001953e+00,-2.601736307144165039e+00
1.393095946311950684e+01,6.025523662567138672e+00,5.105565547943115234e+00,4.425102472305297852e-01,3.785216808319091797e+00,7.904898166656494141e+00,-2.609435081481933594e+00
1.395112490653991699e+01,5.938498020172119141e+00,5.184801578521728516e+00,4.296514689922332764e-01,3.772696018218994141e+00,8.030890464782714844e+00,-2.610281229019165039e+00
1.397176122665405273e+01,5.839826583862304688e+00,5.272747039794921875e+00,4.335230290889739990e-01,3.778531789779663086e+00,8.186250686645507812e+00,-2.611246824264526367e+00
1.399152946472167969e+01,5.762088775634765625e+00,5.329142570495605469e+00,4.508680701255798340e-01,3.781189918518066406e+00,8.312541961669921875e+00,-2.612334012985229492e+00
1.401196432113647461e+01,5.684963703155517578e+00,5.430468082427978516e+00,4.616479873657226562e-01,3.782085657119750977e+00,8.511811256408691406e+00,-2.612603425979614258e+00
1.403163433074951172e+01,5.614283084869384766e+00,5.543478488922119141e+00,4.685953557491302490e-01,3.785905122756958008e+00,8.750448226928710938e+00,-2.610616683959960938e+00
1.405158829689025879e+01,5.556388378143310547e+00,5.694499492645263672e+00,4.733943641185760498e-01,3.800487756729125977e+00,9.090476036071777344e+00,-2.591671228408813477e+00
1.407122087478637695e+01,5.476225852966308594e+00,5.822562694549560547e+00,4.760512709617614746e-01,3.820200443267822266e+00,9.390109062194824219e+00,-2.593401193618774414e+00
1.409134507179260254e+01,5.411274909973144531e+00,5.999076843261718750e+00,4.694990515708923340e-01,3.913063287734985352e+00,9.798756599426269531e+00,-2.582711696624755859e+00
1.411156415939331055e+01,5.324348449707031250e+00,6.139124393463134766e+00,4.727301001548767090e-01,4.033311367034912109e+00,1.014863777160644531e+01,-2.570537328720092773e+00
1.413191628456115723e+01,5.266458034515380859e+00,6.319081306457519531e+00,4.804768860340118408e-01,4.192179203033447266e+00,1.057012748718261719e+01,-2.576849460601806641e+00
1.415179371833801270e+01,5.154041767120361328e+00,6.445257186889648438e+00,4.859014153480529785e-01,4.390748023986816406e+00,1.096432971954345703e+01,-2.557601928710937500e+00
1.417229104042053223e+01,5.090656280517578125e+00,6.591168403625488281e+00,4.932691752910614014e-01,4.591945648193359375e+00,1.135292911529541016e+01,-2.570894002914428711e+00
1.419243288040161133e+01,5.033892154693603516e+00,6.726246356964111328e+00,4.990722835063934326e-01,4.816309452056884766e+00,1.176457786560058594e+01,-2.560806274414062500e+00
1.421428489685058594e+01,4.936393737792968750e+00,6.814344882965087891e+00,4.972152709960937500e-01,4.993060111999511719e+00,1.208370494842529297e+01,-2.535653352737426758e+00
1.423276901245117188e+01,5.208769798278808594e+00,7.072092056274414062e+00,4.802778065204620361e-01,5.180050373077392578e+00,1.250333023071289062e+01,-2.535326719284057617e+00
1.425255537033081055e+01,5.255112648010253906e+00,7.363411426544189453e+00,4.662731885910034180e-01,5.353362560272216797e+00,1.306150722503662109e+01,-2.548761606216430664e+00
1.427262830734252930e+01,5.220333099365234375e+00,7.647873878479003906e+00,4.620498418807983398e-01,5.637823104858398438e+00,1.361005210876464844e+01,-2.538505315780639648e+00
1.429258418083190918e+01,4.477955341339111328e+00,8.184171676635742188e+00,4.509840905666351318e-01,5.139143943786621094e+00,1.430655384063720703e+01,-2.592844963073730469e+00
1.431256675720214844e+01,4.084091663360595703e+00,8.843417167663574219e+00,2.754377424716949463e-01,4.330682754516601562e+00,1.517435646057128906e+01,-2.675258159637451172e+00
