time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
3.912074947357177734e+01,-2.938045501708984375e+00,-9.867977350950241089e-02,4.124902784824371338e-01,-6.431075096130371094e+00,2.187967449426651001e-01,5.048992633819580078e-01
3.912625885009765625e+01,-2.938045501708984375e+00,-9.867977350950241089e-02,4.124902784824371338e-01,-6.431075096130371094e+00,2.187967449426651001e-01,5.048992633819580078e-01
3.914477539062500000e+01,-8.091987609863281250e+01,3.122506332397460938e+01,1.088847541809082031e+01,-8.461923217773437500e+01,3.175164604187011719e+01,-9.906137466430664062e+00
3.916358566284179688e+01,-4.282624435424804688e+01,2.985300827026367188e+01,1.008151149749755859e+01,-1.105659713745117188e+02,2.958306121826171875e+01,-9.429359436035156250e+00
3.918383121490478516e+01,-1.090510940551757812e+01,2.567146873474121094e+01,1.159085750579833984e+01,-8.061819458007812500e+01,2.612105369567871094e+01,-8.871273994445800781e+00
3.920434260368347168e+01,3.205431747436523438e+01,2.288300132751464844e+01,1.206133937835693359e+01,-5.400519180297851562e+01,2.253281784057617188e+01,-8.132398605346679688e+00
3.922432661056518555e+01,6.379940032958984375e+01,2.021400451660156250e+01,1.114975929260253906e+01,-4.478654098510742188e+01,1.958981323242187500e+01,-7.450216293334960938e+00
3.924437928199768066e+01,6.931437683105468750e+01,2.025657272338867188e+01,1.000186347961425781e+01,-4.068521499633789062e+01,1.702455329895019531e+01,-6.831260681152343750e+00
3.926413273811340332e+01,6.493910217285156250e+01,1.968042182922363281e+01,9.221776962280273438e+00,-3.716493606567382812e+01,1.475650024414062500e+01,-6.270511150360107422e+00
3.928472685813903809e+01,8.071280670166015625e+01,2.196326446533203125e+01,8.226754188537597656e+00,-3.408708953857421875e+01,1.274914360046386719e+01,-5.761544704437255859e+00
3.930463385581970215e+01,5.447646713256835938e+01,1.890359878540039062e+01,7.536489963531494141e+00,-3.234627914428710938e+01,1.097571468353271484e+01,-5.297605991363525391e+00
3.932473158836364746e+01,4.318287277221679688e+01,1.708428382873535156e+01,7.074075698852539062e+00,-1.566082572937011719e+01,9.784432411193847656e+00,-4.977706432342529297e+00
3.934481048583984375e+01,3.800554656982421875e+01,1.503372287750244141e+01,6.508837699890136719e+00,-3.277397155761718750e+00,8.415068626403808594e+00,-4.585098266601562500e+00
3.936478996276855469e+01,7.506910705566406250e+01,1.322792434692382812e+01,5.988258361816406250e+00,7.111706256866455078e+00,7.264800071716308594e+00,-4.225755691528320312e+00
3.938481640815734863e+01,1.152521820068359375e+02,1.173101997375488281e+01,5.504810810089111328e+00,4.791595840454101562e+01,6.343210220336914062e+00,-3.899919033050537109e+00
3.940500760078430176e+01,1.034259948730468750e+02,1.037169647216796875e+01,5.053882122039794922e+00,9.269528961181640625e+01,5.739862442016601562e+00,-3.606835842132568359e+00
3.942514324188232422e+01,2.981962013244628906e+01,8.877876281738281250e+00,4.640947341918945312e+00,1.237390213012695312e+02,5.471120834350585938e+00,-3.348959684371948242e+00
3.944528007507324219e+01,-2.327802467346191406e+01,7.230142593383789062e+00,4.272499561309814453e+00,1.346304016113281250e+02,5.512919902801513672e+00,-3.109999179840087891e+00
3.946521925926208496e+01,-3.982754135131835938e+01,5.748907566070556641e+00,3.941644191741943359e+00,1.083272552490234375e+02,5.383896827697753906e+00,-2.890437841415405273e+00
3.948550367355346680e+01,-4.033801651000976562e+01,4.549662590026855469e+00,3.640938758850097656e+00,9.061904907226562500e+01,5.024190902709960938e+00,-2.695601224899291992e+00
3.950596904754638672e+01,-3.950814437866210938e+01,3.584847688674926758e+00,3.366836786270141602e+00,8.045967864990234375e+01,4.637719631195068359e+00,-2.515027284622192383e+00
3.952553725242614746e+01,-3.754399490356445312e+01,2.788638830184936523e+00,3.115464448928833008e+00,6.874238586425781250e+01,4.279702186584472656e+00,-2.343535184860229492e+00
3.954576539993286133e+01,-3.133205986022949219e+01,2.133750677108764648e+00,2.886715412139892578e+00,5.508480834960937500e+01,3.921592235565185547e+00,-2.178131580352783203e+00
3.956588435173034668e+01,-2.023389625549316406e+01,1.760173916816711426e+00,2.729747295379638672e+00,3.815950775146484375e+01,3.602187871932983398e+00,-2.057942152023315430e+00
3.958606863021850586e+01,-5.644673705101013184e-01,1.416622281074523926e+00,2.536107778549194336e+00,1.777154922485351562e+01,3.216633796691894531e+00,-1.905461549758911133e+00
3.960617947578430176e+01,1.883868217468261719e+01,1.238590598106384277e+00,2.354455232620239258e+00,-2.244810342788696289e+00,2.820061922073364258e+00,-1.763164162635803223e+00
3.962621903419494629e+01,2.873086738586425781e+01,1.198936939239501953e+00,2.185028076171875000e+00,-1.505004692077636719e+01,2.415132045745849609e+00,-1.631343364715576172e+00
3.964634490013122559e+01,2.870391082763671875e+01,1.215701580047607422e+00,2.028616905212402344e+00,-2.221616363525390625e+01,2.027391195297241211e+00,-1.509197115898132324e+00
3.966640472412109375e+01,2.918439865112304688e+01,1.235910534858703613e+00,1.885413765907287598e+00,-3.021659278869628906e+01,1.673245787620544434e+00,-1.396152496337890625e+00
3.968635439872741699e+01,2.890990638732910156e+01,1.295951843261718750e+00,1.753116130828857422e+00,-3.686271667480468750e+01,1.344419836997985840e+00,-1.292935967445373535e+00
3.970663237571716309e+01,2.614139747619628906e+01,1.387215375900268555e+00,1.628356814384460449e+00,-4.076900100708007812e+01,1.041778326034545898e+00,-1.200242519378662109e+00
3.972674965858459473e+01,2.371119689941406250e+01,1.488433241844177246e+00,1.508835554122924805e+00,-4.420407104492187500e+01,7.669058442115783691e-01,-1.117609977722167969e+00
3.974848723411560059e+01,2.341782760620117188e+01,1.591990947723388672e+00,1.393948793411254883e+00,-4.755642700195312500e+01,5.112428069114685059e-01,-1.044090509414672852e+00
3.976729559898376465e+01,2.392081069946289062e+01,1.692207694053649902e+00,1.284601569175720215e+00,-5.066319274902343750e+01,2.693043649196624756e-01,-9.785082340240478516e-01
3.978737330436706543e+01,3.138562011718750000e+01,1.005130100250244141e+01,1.047411680221557617e+00,-5.171499252319335938e+01,4.083978384733200073e-02,-9.184606075286865234e-01
3.980732679367065430e+01,4.224971008300781250e+01,1.529354858398437500e+01,1.032875776290893555e+00,-5.514245605468750000e+01,-1.640110313892364502e-01,-8.614064455032348633e-01
3.982740688323974609e+01,3.411124420166015625e+01,1.859083557128906250e+01,1.020049929618835449e+00,-5.571479034423828125e+01,-3.723614215850830078e-01,-8.053768277168273926e-01
3.984781622886657715e+01,3.124923896789550781e+01,1.943292999267578125e+01,1.163603782653808594e+00,-4.032558059692382812e+01,-5.786447525024414062e-01,-7.505877614021301270e-01
3.986816477775573730e+01,5.685861968994140625e+01,2.130136489868164062e+01,1.334477186203002930e+00,-2.317878341674804688e+01,-7.044341564178466797e-01,-7.017724514007568359e-01
3.988826632499694824e+01,7.145615386962890625e+01,2.186122894287109375e+01,1.416047215461730957e+00,-8.058061599731445312e+00,-7.402633428573608398e-01,-6.797632575035095215e-01
3.990802121162414551e+01,8.780977630615234375e+01,2.328808975219726562e+01,1.593739986419677734e+00,-8.122146606445312500e+00,-7.625148892402648926e-01,-6.394616365432739258e-01
3.992821645736694336e+01,8.184072875976562500e+01,2.272301101684570312e+01,1.676541686058044434e+00,-1.105390071868896484e+01,-8.343754410743713379e-01,-6.028379201889038086e-01
3.994867610931396484e+01,6.535199737548828125e+01,2.430820655822753906e+01,1.864598035812377930e+00,-7.760956764221191406e+00,-9.007739424705505371e-01,-5.699548125267028809e-01
3.996893572807312012e+01,5.188766860961914062e+01,2.061949348449707031e+01,1.785600185394287109e+00,3.537299633026123047e+00,-9.082555770874023438e-01,-5.388040542602539062e-01
3.998985791206359863e+01,6.518157196044921875e+01,1.796796417236328125e+01,1.682246446609497070e+00,1.247721004486083984e+01,-8.795384168624877930e-01,-5.107604265213012695e-01
4.000980162620544434e+01,1.124720077514648438e+02,1.584605789184570312e+01,1.576955437660217285e+00,2.890691566467285156e+01,-7.991496920585632324e-01,-4.851966500282287598e-01
4.002985954284667969e+01,1.203354110717773438e+02,1.403603458404541016e+01,1.472545027732849121e+00,3.200225830078125000e+01,-6.003465652465820312e-01,-4.613782465457916260e-01
4.005010437965393066e+01,6.495038604736328125e+01,1.222514057159423828e+01,1.380272030830383301e+00,3.853219604492187500e+01,-3.109315931797027588e-01,-4.391584992408752441e-01
4.007006621360778809e+01,8.879205703735351562e+00,1.034698867797851562e+01,1.303662180900573730e+00,5.395996093750000000e+01,2.459796518087387085e-02,-4.201801419258117676e-01
4.009000968933105469e+01,-2.103203964233398438e+01,8.605384826660156250e+00,1.234834194183349609e+00,5.876968002319335938e+01,3.568177819252014160e-01,-4.059869349002838135e-01
4.010990762710571289e+01,-3.424688720703125000e+01,7.100243568420410156e+00,1.169735074043273926e+00,5.945566177368164062e+01,6.065651774406433105e-01,-3.983292579650878906e-01
4.013006711006164551e+01,-3.948161315917968750e+01,5.838214397430419922e+00,1.108436107635498047e+00,5.763625717163085938e+01,7.774173617362976074e-01,-3.929852545261383057e-01
4.016024041175842285e+01,-3.853231048583984375e+01,4.792629241943359375e+00,1.048964262008666992e+00,5.051738739013671875e+01,8.753587007522583008e-01,-3.898985683917999268e-01
4.017039203643798828e+01,-2.845588684082031250e+01,3.538469552993774414e+00,9.582309722900390625e-01,3.145977973937988281e+01,8.913583159446716309e-01,-3.872184455394744873e-01
4.019048595428466797e+01,-1.691945075988769531e+01,3.213652849197387695e+00,9.274479150772094727e-01,1.517582225799560547e+01,8.672004342079162598e-01,-3.864402770996093750e-01
4.021083450317382812e+01,-4.387451171875000000e+00,2.879800796508789062e+00,8.821520805358886719e-01,1.962365865707397461e+00,7.761760354042053223e-01,-3.853047490119934082e-01
4.023083853721618652e+01,8.505035400390625000e+00,2.533355712890625000e+00,8.215041756629943848e-01,-1.178840160369873047e+01,6.371242403984069824e-01,-3.837732672691345215e-01
4.025116825103759766e+01,1.538171958923339844e+01,2.296046972274780273e+00,7.624872922897338867e-01,-2.210300636291503906e+01,4.813508987426757812e-01,-3.816079795360565186e-01
4.027129721641540527e+01,1.397256565093994141e+01,2.142304420471191406e+00,7.072111368179321289e-01,-2.738537788391113281e+01,3.164315819740295410e-01,-3.774719238281250000e-01
4.029156041145324707e+01,1.250184059143066406e+01,2.032837152481079102e+00,6.564971804618835449e-01,-3.280974197387695312e+01,1.567713618278503418e-01,-3.708612322807312012e-01
4.031168842315673828e+01,1.232262325286865234e+01,1.967230200767517090e+00,6.100326180458068848e-01,-3.837089157104492188e+01,-3.372821956872940063e-03,-3.621121942996978760e-01
4.033223962783813477e+01,9.909543991088867188e+00,1.941536664962768555e+00,5.705420970916748047e-01,-8.093774795532226562e+00,5.932224750518798828e+00,-1.316288590431213379e+00
4.035125446319580078e+01,-2.386420822143554688e+01,2.866060256958007812e+00,4.991008341312408447e-01,-3.347261047363281250e+01,1.028177618980407715e+00,-1.862404704093933105e+00
4.037145304679870605e+01,-7.116210460662841797e+00,6.143210411071777344e+00,5.451362133026123047e-01,-4.598000335693359375e+01,-3.437565267086029053e-01,-1.890391707420349121e+00
4.039142704010009766e+01,1.147768306732177734e+01,8.380167007446289062e+00,5.311291813850402832e-01,-4.901659774780273438e+01,-1.466101884841918945e+00,-1.957663774490356445e+00
4.041156506538391113e+01,1.508398246765136719e+01,8.718639373779296875e+00,5.152397155761718750e-01,-4.884364700317382812e+01,-1.382425069808959961e+00,-1.935212135314941406e+00
4.043238162994384766e+01,2.025570106506347656e+01,7.600289821624755859e+00,4.511384665966033936e-01,-3.372462081909179688e+01,-1.152887582778930664e+00,-1.821887135505676270e+00
4.045229196548461914e+01,2.426604080200195312e+01,6.668143749237060547e+00,4.143182337284088135e-01,-2.320959281921386719e+01,-1.097074747085571289e+00,-1.700467109680175781e+00
4.047231030464172363e+01,2.518009567260742188e+01,5.986086368560791016e+00,3.856703042984008789e-01,-1.601013374328613281e+01,-1.055267572402954102e+00,-1.582712531089782715e+00
4.049223732948303223e+01,2.619670486450195312e+01,5.533486843109130859e+00,3.685579299926757812e-01,-9.534452438354492188e+00,-1.014113187789916992e+00,-1.498735308647155762e+00
4.051254773139953613e+01,2.496032905578613281e+01,4.972120285034179688e+00,3.507199585437774658e-01,-2.799509048461914062e+00,-9.376519918441772461e-01,-1.393002867698669434e+00
4.053233933448791504e+01,2.282488632202148438e+01,4.442285060882568359e+00,3.372962772846221924e-01,3.120755672454833984e+00,-8.429560661315917969e-01,-1.293751597404479980e+00
4.055268859863281250e+01,2.011102485656738281e+01,3.947875022888183594e+00,3.276008069515228271e-01,8.032015800476074219e+00,-7.326493859291076660e-01,-1.201385855674743652e+00
4.057316088676452637e+01,1.725009727478027344e+01,3.489822149276733398e+00,3.218647837638854980e-01,1.192313194274902344e+01,-6.128777861595153809e-01,-1.115696310997009277e+00
4.059310150146484375e+01,1.203120517730712891e+01,3.070028543472290039e+00,3.188908696174621582e-01,1.628582191467285156e+01,-4.915799796581268311e-01,-1.036497235298156738e+00
4.061322903633117676e+01,5.387615680694580078e+00,2.679734468460083008e+00,3.167247474193572998e-01,1.923718643188476562e+01,-3.725072145462036133e-01,-9.638879895210266113e-01
4.063320231437683105e+01,7.235842943191528320e-01,2.317496776580810547e+00,3.148856461048126221e-01,2.076438713073730469e+01,-2.658888399600982666e-01,-8.978649377822875977e-01
