time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
2.246484136581420898e+01,-7.500000000000000000e+00,9.780277252197265625e+00,-1.618260145187377930e+00,-9.468750000000000000e+00,8.495905876159667969e+00,-7.812945544719696045e-02
2.247235298156738281e+01,-7.968750000000000000e+00,9.722429275512695312e+00,-1.571460962295532227e+00,-9.562500000000000000e+00,8.495905876159667969e+00,-7.812945544719696045e-02
2.249002361297607422e+01,5.315625000000000000e+01,1.278997421264648438e+01,-1.516721606254577637e+00,4.743750000000000000e+01,1.171085453033447266e+01,1.161179319024085999e-01
2.250891804695129395e+01,-3.337500000000000000e+01,1.974947357177734375e+01,2.918388843536376953e+00,-1.762500000000000000e+01,1.911150169372558594e+01,-3.586986064910888672e+00
2.252941322326660156e+01,-5.268750000000000000e+01,9.455229759216308594e+00,5.343342304229736328e+00,-2.615625000000000000e+01,1.017772865295410156e+01,-5.407182216644287109e+00
2.254933381080627441e+01,-6.243750000000000000e+01,1.578666496276855469e+01,8.396485328674316406e+00,-3.356250000000000000e+01,1.648906898498535156e+01,-9.186715126037597656e+00
2.256947183609008789e+01,-7.931250000000000000e+01,3.043668937683105469e+01,1.086923122406005859e+01,-5.006250000000000000e+01,2.732586479187011719e+01,-1.493145465850830078e+01
2.258970212936401367e+01,-1.959375000000000000e+01,3.873572158813476562e+01,9.470055580139160156e+00,-5.034375000000000000e+01,3.816966629028320312e+01,-1.201933479309082031e+01
2.260921597480773926e+01,2.150625000000000000e+02,3.005506706237792969e+01,-1.457971453666687012e+00,1.131562500000000000e+02,2.894286537170410156e+01,4.841046810150146484e+00
2.262986016273498535e+01,1.050937500000000000e+02,2.379747152328491211e+00,9.260090827941894531e+00,7.350000000000000000e+01,8.332769393920898438e+00,-9.442049026489257812e+00
2.264989829063415527e+01,5.681250000000000000e+01,2.611186981201171875e+01,2.704777479171752930e+00,1.903125000000000000e+01,2.117602729797363281e+01,-3.318321228027343750e+00
2.266967797279357910e+01,-1.917187500000000000e+02,2.272672653198242188e+01,4.112013339996337891e+00,-3.181875000000000000e+02,3.050852537155151367e+00,-1.518615603446960449e+00
2.269005274772644043e+01,5.643750000000000000e+01,2.688732147216796875e+01,-5.107101440429687500e+00,-2.513437500000000000e+02,-1.385850524902343750e+01,-4.797269701957702637e-01
2.270954060554504395e+01,1.145625000000000000e+02,2.048202323913574219e+01,1.199761867523193359e+00,-2.370937500000000000e+02,-9.223917961120605469e+00,-1.696717143058776855e+00
2.272994160652160645e+01,1.463437500000000000e+02,9.549574851989746094e+00,3.999421358108520508e+00,-5.728125000000000000e+01,-4.049151420593261719e+00,-4.094249248504638672e+00
