Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_rma,tfall_rma,ok_noforce,tfall_noforce
5.4784675,-6.227601,-81.705666,12.87168,-5.561143,-99.38232,181.08798217773438,0.0,2.5580000000000003,0.0,1.258
-9.208531,-2.7880507,-3.698086,3.3993073,3.0763056,-27.88342,31.581506729125977,1.0,6.0,1.0,6.0
-18.36106,18.642483,-19.908297,-0.9364631,1.1128031,-32.339554,52.24784851074219,1.0,6.0,1.0,6.0
-19.338894,2.4892738,-51.87395,-9.753999,-5.7860327,-34.309856,86.18380737304688,0.0,4.5920000000000005,1.0,6.0
12.530809,-9.645416,-18.646593,-17.093666,5.496839,-31.2585,49.90509033203125,1.0,6.0,1.0,6.0
16.510223,-10.332972,-39.71511,-19.284344,7.030698,-41.373577,81.08868408203125,1.0,6.0,1.0,6.0
4.265431,15.524733,-34.487892,3.1988072,2.331158,-88.47211,122.95999908447266,1.0,6.0,1.0,6.0
9.179862,-10.965223,-8.630923,-12.355589,-4.5082035,-33.079628,41.71055221557617,1.0,6.0,1.0,6.0
1.7449996,-15.017812,-93.47296,19.021318,4.9561114,-99.34015,192.8131103515625,0.0,1.268,0.0,1.156
17.402897,-8.46677,-16.501179,-15.700911,3.6761112,-81.71571,98.21688842773438,1.0,6.0,1.0,6.0
12.634142,3.4449227,-61.818523,-1.9164485,-6.387046,-57.91216,119.73068237304688,1.0,6.0,1.0,6.0
-19.89046,2.16362,-67.44544,-4.2136083,-7.8719597,-62.163063,129.60850524902344,0.0,2.984,1.0,6.0
14.296171,12.388431,-0.5973229,-10.7075405,1.8299552,-88.103485,88.7008056640625,1.0,6.0,1.0,6.0
-18.656576,2.419038,-21.880949,9.950229,4.4936695,-57.30424,79.18518829345703,1.0,6.0,1.0,6.0
9.186218,-8.463151,-51.446487,5.7481904,4.4319377,-37.638275,89.08476257324219,1.0,6.0,1.0,6.0
-12.973775,-3.4841464,-57.73716,9.030308,-4.6864796,-62.25366,119.99081420898438,1.0,6.0,1.0,6.0
14.527157,12.724839,-12.247109,-16.687656,2.6309562,-29.150051,41.397159576416016,1.0,6.0,1.0,6.0
1.6584488,5.0602584,-91.31851,-5.8902636,19.430786,-76.90779,168.22630310058594,0.0,1.502,1.0,6.0
-8.011524,18.363106,-29.158125,0.793323,-2.8790193,-85.61747,114.77559661865234,0.0,4.47,1.0,6.0
-3.0925112,-5.2238235,-21.084538,-2.9311543,13.720589,-25.110016,46.19455337524414,1.0,6.0,1.0,6.0
-18.867212,2.1044605,-20.080362,-18.375298,-16.747053,-33.127186,53.207550048828125,1.0,6.0,0.0,1.61
-15.028669,3.756968,-67.771324,-12.238902,15.0091305,-57.06293,124.83425903320312,0.0,2.816,0.0,3.616
6.8249764,13.931648,-20.336082,17.800985,17.668245,-86.32327,106.65935516357422,1.0,6.0,0.0,1.29
5.8875804,-14.181059,-77.467155,-13.497211,-9.525439,-33.631626,111.09878540039062,1.0,6.0,1.0,6.0
4.6154046,-3.7395866,-63.769203,14.082093,-19.515944,-25.004425,88.77362823486328,1.0,6.0,0.0,1.942
-4.652898,16.39836,-58.255188,12.885487,-0.6796635,-83.605736,141.86093139648438,0.0,2.714,0.0,2.628
19.888397,-18.277325,-45.859,-4.34825,-12.691509,-31.069826,76.92882537841797,1.0,6.0,0.0,2.23
19.233414,12.908251,-88.73863,-1.3286592,18.86525,-64.436295,153.1749267578125,0.0,1.844,0.0,1.27
7.4216795,-3.3846385,-59.30522,12.9600725,15.907937,-8.488138,67.7933578491211,1.0,6.0,1.0,6.0
6.018371,13.19216,-99.96993,7.227453,18.426596,-24.846031,124.81596374511719,0.0,1.6540000000000001,0.0,1.518
7.5378695,-19.601818,-25.561928,13.47775,4.154786,-72.626884,98.18881225585938,1.0,6.0,0.0,1.564
-4.443143,-5.398154,-14.812408,10.303864,0.6064147,-6.197368,21.009777069091797,1.0,6.0,1.0,6.0
-14.59614,-16.8548,-86.106834,7.6508594,13.308714,-97.47672,183.58355712890625,0.0,1.564,1.0,6.0
8.859533,6.1045833,-29.621424,16.518965,6.093959,-81.5176,111.13902282714844,1.0,6.0,0.0,1.322
1.0141729,-9.046036,-17.88969,12.912285,-10.057693,-75.8097,93.69938659667969,1.0,6.0,0.0,1.972
-7.590325,8.106083,-1.8171678,-12.837493,17.37144,-26.791992,28.609159469604492,1.0,6.0,1.0,6.0
-0.56658566,17.752058,-15.620944,9.928971,-2.412022,-47.383198,63.00414276123047,1.0,6.0,1.0,6.0
15.579514,-14.927316,-57.58935,-16.532747,10.942249,-53.562458,111.15180969238281,1.0,6.0,1.0,6.0
17.36174,14.591132,-2.0311291,-2.9657505,0.037518278,-77.746666,79.77779388427734,1.0,6.0,1.0,6.0
-5.6881924,-17.621433,-2.6015594,-4.1299243,-12.6657505,-24.353289,26.95484733581543,1.0,6.0,1.0,6.0
2.8611932,-4.76918,-49.6323,-11.913277,-8.162926,-88.28936,137.92166137695312,0.0,4.506,1.0,6.0
-7.1252246,-2.8090374,-24.655346,17.516205,2.9764307,-75.26588,99.92121887207031,1.0,6.0,1.0,6.0
3.7720013,-0.44601813,-8.616233,-16.208933,-14.279917,-19.363968,27.980201721191406,1.0,6.0,1.0,6.0
-6.483551,19.058493,-52.385292,-19.804024,-19.450485,-54.895252,107.28054809570312,1.0,6.0,1.0,6.0
-4.33524,11.027648,-13.621376,-7.083168,-2.644351,-12.318227,25.93960189819336,1.0,6.0,1.0,6.0
15.610974,-7.6457057,-29.843143,19.62979,10.487886,-39.83359,69.6767349243164,1.0,6.0,0.0,1.298
-10.913696,-9.206529,-70.607574,-9.412195,4.566291,-21.045536,91.65310668945312,1.0,6.0,1.0,6.0
4.927486,14.524808,-23.234774,13.227771,-7.034145,-81.259674,104.49444580078125,1.0,6.0,0.0,1.774
-16.639387,15.252287,-42.931522,-13.075455,8.689637,-68.377815,111.30934143066406,0.0,2.638,0.0,2.94
13.305766,0.4282602,-90.615486,3.4551342,-0.6194147,-62.329395,152.94488525390625,0.0,2.262,0.0,1.466
11.4839325,-6.228171,-60.861958,18.336374,19.980055,-50.58008,111.44203186035156,1.0,6.0,0.0,1.206
-10.425222,19.796694,-92.6259,8.660529,11.041266,-52.753296,145.3791961669922,0.0,1.512,1.0,6.0
15.059369,-7.362258,-52.383305,19.22032,13.225258,-17.753384,70.13668823242188,1.0,6.0,0.0,1.306
-17.657278,-12.6915045,-57.146038,2.982266,-9.618044,-82.68095,139.8269805908203,0.0,3.868,1.0,6.0
-6.5553174,15.203925,-57.626255,19.333387,-13.908201,-14.851409,72.4776611328125,1.0,6.0,1.0,6.0
-13.988821,12.493416,-41.369965,13.481881,-12.027843,-11.09537,52.465335845947266,1.0,6.0,1.0,6.0
-1.9864253,6.715576,-87.730934,11.129929,-2.7094014,-92.4481,180.1790313720703,0.0,1.8,0.0,1.566
11.852971,18.336546,-6.623109,15.539596,0.48596478,-99.06097,105.68407440185547,1.0,6.0,0.0,1.27
-10.774312,17.028584,-31.594955,5.2596607,-12.215626,-70.7247,102.31965637207031,1.0,6.0,1.0,6.0
-17.919147,9.92994,-17.621864,-5.745418,11.197791,-59.92552,77.5473861694336,0.0,4.926,1.0,6.0
-3.8179264,14.428057,-10.319877,1.1312976,14.7372465,-2.9550593,13.274935722351074,1.0,6.0,1.0,6.0
-12.059478,-10.11413,-41.667995,-10.939984,-7.3598003,-92.85914,134.52713012695312,0.0,3.746,1.0,6.0
-16.369879,-14.350138,-95.97818,11.101765,0.32256788,-21.869474,117.84765625,0.0,2.81,1.0,6.0
3.2132955,6.802474,-28.851318,-13.19686,3.7749841,-52.457504,81.30882263183594,1.0,6.0,1.0,6.0
-8.052155,8.584742,-43.097416,3.087918,8.895127,-87.01265,130.1100616455078,0.0,3.376,1.0,6.0
6.879795,-13.317883,-17.404278,1.4359572,-14.101102,-63.391968,80.79624938964844,1.0,6.0,1.0,6.0
-12.019382,-4.177709,-46.78395,6.876112,-8.765158,-61.90986,108.69380950927734,1.0,6.0,1.0,6.0
