Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
4.0133047,-4.2167835,-20.442272,-2.957268,-6.108313,-7.596839,31.441689,1,6.0,1,6.0
1.1099097,-5.6677213,-3.8259048,2.8800275,-20.813095,-17.844276,34.493904,1,6.0,1,6.0
3.1994157,2.3237007,-1.7266423,-1.2414217,17.410301,-12.332517,25.686485,1,6.0,1,6.0
-20.146206,-9.922873,-0.65793234,-9.893083,-1.4126623,-0.077838324,32.46073,0,1.82,1,6.0
-17.622463,-1.6583213,-9.443324,-17.69045,10.691517,-18.711477,47.94338,0,1.6440000000000001,1,6.0
-9.767958,-7.2600517,-4.219233,0.83903724,9.094497,-3.3561924,22.611378,1,6.0,1,6.0
1.4970345,3.7914548,-0.46746007,7.116005,-5.5869746,-3.2071383,13.701849,1,6.0,1,6.0
17.441574,-8.4905615,-4.4866834,-0.5281983,0.70968944,-0.11202364,20.802252,1,6.0,1,6.0
17.316647,1.8019164,-14.250513,13.867765,-14.726775,-5.740394,43.525917,0,1.672,1,6.0
-4.3075256,-2.1391034,-1.0290443,-2.3159044,-1.380208,-1.7970864,8.158326,1,6.0,1,6.0
-20.01181,-4.146104,-3.1560254,-1.3699309,-0.19601138,-0.46578726,22.139221,1,6.0,1,6.0
8.463112,3.3589704,-5.5608463,-10.375896,3.500667,-16.354465,30.351147,1,6.0,1,6.0
-17.443483,-3.4579601,-20.91567,-28.953243,0.028515209,-2.3768709,56.50421,0,1.336,1,6.0
13.624637,-11.486509,-13.811592,1.9065918,-0.2599574,-0.063768744,24.47148,1,6.0,1,6.0
7.0015926,4.0645843,-1.3757666,-16.688892,0.36546725,-15.523456,31.007338,1,6.0,1,6.0
-3.5865154,16.657642,-22.395622,6.707172,-1.3424499,-0.51839256,35.000603,1,6.0,1,6.0
0.6037198,0.44068536,-0.11975657,-16.61932,14.988834,-12.910583,26.593973,1,6.0,1,6.0
-4.8720737,-0.017959556,-2.6469793,0.13139714,0.3397145,-0.008010104,5.909049,1,6.0,1,6.0
-6.6099863,2.0271885,-2.2054317,5.5089545,-0.5668607,-1.8040584,13.081567,1,6.0,1,6.0
10.026621,-17.057432,-9.531945,13.39336,9.699999,-24.131834,51.21676,0,2.38,1,6.0
-3.217573,-8.624242,-12.823307,-8.504073,1.1452762,-14.977846,33.046757,1,6.0,1,6.0
-10.647525,7.0631914,-5.5517206,2.6055555,-1.2557154,-2.6924326,17.882835,1,6.0,1,6.0
4.9013186,4.0869093,-1.9604144,-0.13116282,0.024366083,-0.047409993,6.8175807,1,6.0,1,6.0
-21.66918,0.51164967,-6.7233276,0.73658323,9.447455,-7.7961307,34.96498,1,6.0,1,6.0
1.6252974,-1.0003198,-2.949625,-1.0969648,-10.45461,-7.703993,16.545986,1,6.0,1,6.0
-5.6052375,-2.8081906,-3.969293,-3.4978237,-2.214701,-15.438647,23.404339,1,6.0,1,6.0
0.58984196,24.077147,-2.2667904,-14.380466,-13.252565,-5.891427,44.614746,1,6.0,1,6.0
-6.5064588,-3.8796973,-11.212197,-1.313964,3.47225,-2.7485428,18.150677,1,6.0,1,6.0
-21.84213,10.776978,-9.935115,-5.692754,7.0343843,-3.054395,35.85541,0,2.15,1,6.0
10.34857,-6.032241,-13.502551,0.4194354,1.297006,-0.8176719,19.639492,1,6.0,1,6.0
-4.1058764,22.493397,-6.1831636,9.939318,-7.8049083,-27.092644,53.581455,1,6.0,1,6.0
-3.2023904,1.0875982,-4.4910817,4.0193043,-11.558857,-3.452852,18.337606,1,6.0,1,6.0
1.0374602,-3.7728367,-8.642107,-10.161526,-8.021214,-15.707048,29.84121,1,6.0,1,6.0
-8.85905,3.177473,-6.256005,-3.6398199,7.1494637,-2.979005,19.859077,1,6.0,1,6.0
-1.7472671,-11.425832,-9.284772,3.1878016,-0.013964293,-2.835676,19.092512,1,6.0,1,6.0
-11.40178,-6.3498,-5.530102,3.4078202,1.48254,-4.4608183,19.980047,1,6.0,1,6.0
