time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.781077218055725098e+01,-1.218750000000000000e+01,6.560897827148437500e+00,-3.153845787048339844e+00,-1.875000000000000000e+00,4.133570194244384766e+00,-1.610684275627136230e+00
1.781768321990966797e+01,-1.171875000000000000e+01,6.503304481506347656e+00,-3.201911211013793945e+00,-2.250000000000000000e+00,4.190077304840087891e+00,-1.657440066337585449e+00
1.783571481704711914e+01,5.128125000000000000e+01,8.728970527648925781e+00,-2.129668235778808594e+00,5.559375000000000000e+01,6.344549179077148438e+00,-1.916274309158325195e+00
1.785401153564453125e+01,-2.934375000000000000e+01,1.511320972442626953e+01,3.082450866699218750e+00,-1.012500000000000000e+01,1.410654544830322266e+01,-3.767266273498535156e+00
1.787408328056335449e+01,-3.234375000000000000e+01,1.772578430175781250e+01,4.034465312957763672e+00,-8.625000000000000000e+00,1.439196395874023438e+01,-3.622468471527099609e+00
1.789427614212036133e+01,-1.190625000000000000e+01,3.248690414428710938e+01,4.299138069152832031e+00,1.125000000000000000e+00,2.335097312927246094e+01,-3.516027688980102539e+00
1.791483116149902344e+01,-2.578125000000000000e+01,3.432011032104492188e+01,3.359620809555053711e+00,3.843750000000000000e+00,2.379025840759277344e+01,-4.443364143371582031e+00
1.793483924865722656e+01,-2.259375000000000000e+01,3.943438720703125000e+01,2.162122964859008789e+00,1.021875000000000000e+01,2.765677261352539062e+01,-1.722777605056762695e+00
1.795475292205810547e+01,-1.734375000000000000e+01,3.799832153320312500e+01,2.073210954666137695e+00,1.218750000000000000e+01,2.782125091552734375e+01,-7.986781597137451172e-01
1.797471141815185547e+01,-1.509375000000000000e+01,3.793529510498046875e+01,2.357673645019531250e+00,1.818750000000000000e+01,2.899385261535644531e+01,-5.179204940795898438e-01
1.799498677253723145e+01,-6.750000000000000000e+00,3.691882705688476562e+01,1.996922731399536133e+00,1.996875000000000000e+01,3.179397964477539062e+01,-1.824374079704284668e+00
1.801548123359680176e+01,-2.718750000000000000e+00,3.619879913330078125e+01,1.917109966278076172e+00,2.100000000000000000e+01,3.068103027343750000e+01,-2.983883857727050781e+00
1.803547143936157227e+01,1.031250000000000000e+00,3.613413619995117188e+01,1.822618603706359863e+00,1.987500000000000000e+01,3.033693122863769531e+01,-3.475279808044433594e+00
1.805556392669677734e+01,8.343750000000000000e+00,3.607687759399414062e+01,2.060165882110595703e+00,1.668750000000000000e+01,3.002734565734863281e+01,-3.844206809997558594e+00
1.807543921470642090e+01,5.531250000000000000e+00,3.607582092285156250e+01,2.534574747085571289e+00,1.481250000000000000e+01,2.991271591186523438e+01,-4.040510177612304688e+00
1.809560084342956543e+01,5.437500000000000000e+00,3.607582092285156250e+01,2.534574747085571289e+00,7.406250000000000000e+00,2.676783752441406250e+01,-4.265452861785888672e+00
1.811576461791992188e+01,3.750000000000000000e+00,3.613223266601562500e+01,2.676556587219238281e+00,8.437500000000000000e+00,2.357329368591308594e+01,-3.965547323226928711e+00
1.813571882247924805e+01,1.500000000000000000e+00,3.613223266601562500e+01,2.676556587219238281e+00,7.218750000000000000e+00,2.317974281311035156e+01,-4.029606819152832031e+00
1.815638136863708496e+01,-5.625000000000000000e-01,3.607539749145507812e+01,2.724337577819824219e+00,3.468750000000000000e+00,2.087986946105957031e+01,-3.980354547500610352e+00
1.817590808868408203e+01,-1.500000000000000000e+00,3.596171951293945312e+01,2.819902181625366211e+00,7.500000000000000000e-01,1.807534599304199219e+01,-3.903926134109497070e+00
1.819611763954162598e+01,-3.281250000000000000e+00,3.408943557739257812e+01,2.878603219985961914e+00,-2.812500000000000000e-01,1.616902351379394531e+01,-3.790613651275634766e+00
1.821611213684082031e+01,-1.500000000000000000e+00,2.834529304504394531e+01,2.119973421096801758e+00,-1.875000000000000000e-01,1.177574062347412109e+01,-3.377598762512207031e+00
1.823662829399108887e+01,-4.125000000000000000e+00,2.367667198181152344e+01,2.161860227584838867e+00,1.218750000000000000e+00,1.075568294525146484e+01,-3.274775028228759766e+00
1.825660443305969238e+01,-3.562500000000000000e+00,2.009157371520996094e+01,1.671682596206665039e+00,7.312500000000000000e+00,8.731696128845214844e+00,-3.459500789642333984e+00
1.827672171592712402e+01,-2.250000000000000000e+00,1.815612602233886719e+01,1.594075918197631836e+00,9.281250000000000000e+00,8.272924423217773438e+00,-3.512404918670654297e+00
1.829702687263488770e+01,-1.125000000000000000e+00,1.676219558715820312e+01,1.654067754745483398e+00,9.000000000000000000e+00,7.654356002807617188e+00,-4.118342876434326172e+00
1.831664204597473145e+01,-1.125000000000000000e+00,1.738959503173828125e+01,1.976365685462951660e+00,7.218750000000000000e+00,8.651881217956542969e+00,-3.605391979217529297e+00
1.833680248260498047e+01,1.031250000000000000e+00,1.617098808288574219e+01,1.705906629562377930e+00,6.656250000000000000e+00,7.594713211059570312e+00,-3.503103256225585938e+00
1.835669422149658203e+01,3.375000000000000000e+00,1.600189399719238281e+01,1.565361738204956055e+00,4.031250000000000000e+00,6.313697338104248047e+00,-3.506139993667602539e+00
1.837667107582092285e+01,2.625000000000000000e+00,1.543640136718750000e+01,1.761434197425842285e+00,2.812500000000000000e+00,6.423178195953369141e+00,-3.694511413574218750e+00
1.839687633514404297e+01,6.562500000000000000e-01,1.628852081298828125e+01,1.700810313224792480e+00,2.718750000000000000e+00,8.165989875793457031e+00,-3.589789867401123047e+00
1.841672372817993164e+01,2.343750000000000000e+00,1.634710121154785156e+01,1.366926074028015137e+00,2.718750000000000000e+00,7.276007175445556641e+00,-3.335003614425659180e+00
1.843695425987243652e+01,2.437500000000000000e+00,1.756027030944824219e+01,1.681326627731323242e+00,3.187500000000000000e+00,9.334617614746093750e+00,-3.351182460784912109e+00
1.845761585235595703e+01,1.125000000000000000e+00,1.790027999877929688e+01,1.485839247703552246e+00,3.750000000000000000e+00,9.838159561157226562e+00,-2.800761699676513672e+00
1.847793269157409668e+01,7.500000000000000000e-01,1.870843887329101562e+01,1.459048151969909668e+00,5.250000000000000000e+00,1.177773094177246094e+01,-2.773333072662353516e+00
1.849755907058715820e+01,-8.437500000000000000e-01,2.091867637634277344e+01,1.750949025154113770e+00,6.468750000000000000e+00,1.623539924621582031e+01,-2.717168092727661133e+00
1.851771116256713867e+01,-1.875000000000000000e+00,2.069297981262207031e+01,1.564740180969238281e+00,9.750000000000000000e+00,1.690344047546386719e+01,-2.401890516281127930e+00
1.853843688964843750e+01,-6.562500000000000000e-01,2.349900627136230469e+01,1.582370996475219727e+00,1.115625000000000000e+01,2.045434570312500000e+01,-2.363642454147338867e+00
1.855849599838256836e+01,0.000000000000000000e+00,2.575936126708984375e+01,1.628440260887145996e+00,1.256250000000000000e+01,2.277732086181640625e+01,-2.534604549407958984e+00
1.857844305038452148e+01,-6.562500000000000000e-01,2.824583053588867188e+01,1.669604778289794922e+00,1.471875000000000000e+01,2.570800399780273438e+01,-2.775999784469604492e+00
1.859845376014709473e+01,9.375000000000000000e-01,3.010786628723144531e+01,2.057134389877319336e+00,1.537500000000000000e+01,2.542825508117675781e+01,-3.221207618713378906e+00
1.861840033531188965e+01,6.562500000000000000e-01,3.163373947143554688e+01,2.071586847305297852e+00,1.593750000000000000e+01,2.531757354736328125e+01,-3.224894762039184570e+00
1.863842320442199707e+01,1.031250000000000000e+00,3.344037246704101562e+01,2.317680120468139648e+00,1.500000000000000000e+01,2.537190055847167969e+01,-3.368381500244140625e+00
1.865843749046325684e+01,2.531250000000000000e+00,3.455591964721679688e+01,2.400488853454589844e+00,1.462500000000000000e+01,2.548258018493652344e+01,-3.364694356918334961e+00
1.867866754531860352e+01,2.531250000000000000e+00,3.449788284301757812e+01,2.544703006744384766e+00,1.500000000000000000e+01,2.556482315063476562e+01,-3.290416955947875977e+00
1.869859361648559570e+01,2.531250000000000000e+00,3.370200729370117188e+01,2.660181760787963867e+00,1.500000000000000000e+01,2.567246437072753906e+01,-3.819552421569824219e+00
1.871929430961608887e+01,2.718750000000000000e+00,3.415631866455078125e+01,2.648580312728881836e+00,1.556250000000000000e+01,2.561736297607421875e+01,-3.772726058959960938e+00
1.873944902420043945e+01,3.656250000000000000e+00,3.245513916015625000e+01,2.406553745269775391e+00,1.509375000000000000e+01,2.578380584716796875e+01,-3.719605922698974609e+00
1.875930285453796387e+01,2.437500000000000000e+00,3.273368835449218750e+01,3.017949342727661133e+00,1.443750000000000000e+01,2.572699546813964844e+01,-3.963180303573608398e+00
1.877946710586547852e+01,2.437500000000000000e+00,2.876343154907226562e+01,2.548396348953247070e+00,1.443750000000000000e+01,2.572756576538085938e+01,-3.866379737854003906e+00
1.879939508438110352e+01,7.500000000000000000e-01,2.943992042541503906e+01,3.102054834365844727e+00,1.528125000000000000e+01,2.583606147766113281e+01,-4.250433444976806641e+00
1.881963419914245605e+01,-1.875000000000000000e+00,2.859603500366210938e+01,2.890673160552978516e+00,1.425000000000000000e+01,2.583662986755371094e+01,-4.153634071350097656e+00
1.883988595008850098e+01,-3.750000000000000000e-01,2.797403526306152344e+01,2.860890865325927734e+00,1.453125000000000000e+01,2.578152847290039062e+01,-4.106806755065917969e+00
1.885989260673522949e+01,-1.312500000000000000e+00,2.804777908325195312e+01,2.811282873153686523e+00,1.471875000000000000e+01,2.583719825744628906e+01,-4.056833267211914062e+00
1.887999582290649414e+01,-7.500000000000000000e-01,2.872902870178222656e+01,2.886883497238159180e+00,1.434375000000000000e+01,2.589344024658203125e+01,-3.910059452056884766e+00
1.890035319328308105e+01,-9.375000000000000000e-02,2.810607719421386719e+01,2.667100906372070312e+00,1.528125000000000000e+01,2.589344024658203125e+01,-3.910059452056884766e+00
1.892063140869140625e+01,-9.375000000000000000e-02,2.782037544250488281e+01,2.817762136459350586e+00,1.528125000000000000e+01,2.589286994934082031e+01,-4.006859302520751953e+00
1.894038963317871094e+01,-1.031250000000000000e+00,2.753563690185546875e+01,2.873383283615112305e+00,1.481250000000000000e+01,2.589173126220703125e+01,-4.200460433959960938e+00
1.896031165122985840e+01,-3.093750000000000000e+00,2.810414695739746094e+01,2.857183218002319336e+00,1.387500000000000000e+01,2.594740295410156250e+01,-4.150486946105957031e+00
1.898048925399780273e+01,-3.656250000000000000e+00,2.736304473876953125e+01,2.927098274230957031e+00,1.368750000000000000e+01,2.589173126220703125e+01,-4.200460433959960938e+00
1.900057864189147949e+01,-2.250000000000000000e+00,2.640298843383789062e+01,2.713607072830200195e+00,1.396875000000000000e+01,2.423128128051757812e+01,-4.054061889648437500e+00
1.902062082290649414e+01,-4.781250000000000000e+00,2.713751792907714844e+01,2.837754964828491211e+00,1.350000000000000000e+01,2.544977951049804688e+01,-4.019447326660156250e+00
1.904069018363952637e+01,-5.812500000000000000e+00,2.730778121948242188e+01,2.786036252975463867e+00,1.378125000000000000e+01,2.495101928710937500e+01,-4.082007884979248047e+00
1.906103920936584473e+01,-4.218750000000000000e+00,2.588245582580566406e+01,2.441692113876342773e+00,1.303125000000000000e+01,2.268103599548339844e+01,-4.001316547393798828e+00
1.908196377754211426e+01,-6.281250000000000000e+00,2.707529449462890625e+01,2.744346141815185547e+00,1.350000000000000000e+01,2.450792884826660156e+01,-4.094594955444335938e+00
1.910240983963012695e+01,-5.437500000000000000e+00,2.622413635253906250e+01,2.433184385299682617e+00,1.387500000000000000e+01,2.290258026123046875e+01,-3.995023727416992188e+00
1.912250542640686035e+01,-5.812500000000000000e+00,2.645192337036132812e+01,2.427511692047119141e+00,1.368750000000000000e+01,2.317865943908691406e+01,-4.132356166839599609e+00
1.914240860939025879e+01,-6.281250000000000000e+00,2.605459976196289062e+01,2.294967651367187500e+00,1.340625000000000000e+01,2.246006011962890625e+01,-3.910809516906738281e+00
1.916180825233459473e+01,-6.937500000000000000e+00,2.531472778320312500e+01,2.265911102294921875e+00,1.256250000000000000e+01,2.118589019775390625e+01,-3.995398521423339844e+00
1.918177056312561035e+01,-6.562500000000000000e+00,2.420358467102050781e+01,2.125546455383300781e+00,1.246875000000000000e+01,2.002306365966796875e+01,-3.980039358139038086e+00
1.920177936553955078e+01,-8.625000000000000000e+00,2.442956733703613281e+01,2.214092016220092773e+00,1.153125000000000000e+01,2.002249526977539062e+01,-4.076839923858642578e+00
1.922180819511413574e+01,-8.250000000000000000e+00,2.335278511047363281e+01,2.101743936538696289e+00,1.031250000000000000e+01,1.891590881347656250e+01,-3.914707183837890625e+00
1.924188351631164551e+01,-8.718750000000000000e+00,2.289978790283203125e+01,2.019495964050292969e+00,1.050000000000000000e+01,1.841771697998046875e+01,-3.880467891693115234e+00
1.926261925697326660e+01,-1.106250000000000000e+01,2.265895843505859375e+01,1.931362271308898926e+00,9.843750000000000000e+00,1.786271476745605469e+01,-4.089802265167236328e+00
1.928204941749572754e+01,-1.134375000000000000e+01,2.169045829772949219e+01,1.910824537277221680e+00,1.012500000000000000e+01,1.703220558166503906e+01,-4.065002918243408203e+00
1.930269861221313477e+01,-1.115625000000000000e+01,2.092400360107421875e+01,1.624115109443664551e+00,8.906250000000000000e+00,1.553876972198486328e+01,-3.768683910369873047e+00
1.932240676879882812e+01,-1.134375000000000000e+01,2.069789314270019531e+01,1.534842610359191895e+00,9.187500000000000000e+00,1.520531272888183594e+01,-3.971724987030029297e+00
1.934258818626403809e+01,-1.312500000000000000e+01,2.120547485351562500e+01,1.854186177253723145e+00,8.437500000000000000e+00,1.609035491943359375e+01,-4.140151023864746094e+00
1.936248731613159180e+01,-1.284375000000000000e+01,2.058436965942382812e+01,1.537598967552185059e+00,7.500000000000000000e+00,1.531608581542968750e+01,-3.968577861785888672e+00
1.938264131546020508e+01,-1.303125000000000000e+01,1.950917053222656250e+01,1.232037067413330078e+00,6.281250000000000000e+00,1.365563678741455078e+01,-3.822179794311523438e+00
1.940257740020751953e+01,-1.396875000000000000e+01,1.990416526794433594e+01,1.459352612495422363e+00,6.093750000000000000e+00,1.415382766723632812e+01,-3.856419086456298828e+00
1.942287135124206543e+01,-1.406250000000000000e+01,1.943706321716308594e+01,1.470692992210388184e+00,5.625000000000000000e+00,1.365449714660644531e+01,-4.015779972076416016e+00
1.944345021247863770e+01,-1.650000000000000000e+01,1.880991554260253906e+01,1.438539266586303711e+00,6.093750000000000000e+00,1.276888656616210938e+01,-3.944154262542724609e+00
1.946336555480957031e+01,-1.650000000000000000e+01,1.880991554260253906e+01,1.438539266586303711e+00,4.968750000000000000e+00,1.287965869903564453e+01,-3.941007614135742188e+00
1.948353862762451172e+01,-1.490625000000000000e+01,1.647474861145019531e+01,1.068807244300842285e+00,4.500000000000000000e+00,9.558760643005371094e+00,-3.648210287094116211e+00
