time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
1.275451850891113281e+01,-5.104593038558959961e-01,4.692084789276123047e+00,2.386925220489501953e-01,-1.576304793357849121e+00,4.857031822204589844e+00,1.208535507321357727e-01
1.276046109199523926e+01,-5.104593038558959961e-01,4.692084789276123047e+00,2.386925220489501953e-01,-1.576304793357849121e+00,4.857031822204589844e+00,1.208535507321357727e-01
1.277908968925476074e+01,8.377606201171875000e+01,7.154595375061035156e+00,7.028501629829406738e-01,8.089009094238281250e+01,7.900144100189208984e+00,-3.940229117870330811e-01
1.279830288887023926e+01,-1.077899456024169922e+01,1.351319885253906250e+01,3.836605310440063477e+00,-1.413176536560058594e+00,1.284747600555419922e+01,-3.453119277954101562e+00
1.281817293167114258e+01,-1.154795169830322266e+01,1.939471817016601562e+01,5.524246215820312500e+00,1.965369462966918945e+00,1.908821678161621094e+01,-4.881469249725341797e+00
1.283918952941894531e+01,-6.893977165222167969e+00,2.612237739562988281e+01,5.545256614685058594e+00,5.582062244415283203e+00,2.656575775146484375e+01,-5.195742607116699219e+00
1.285871315002441406e+01,-8.019259452819824219e+00,3.139669609069824219e+01,4.726586341857910156e+00,2.404712915420532227e+00,3.334239578247070312e+01,-4.643457412719726562e+00
1.287944293022155762e+01,-9.119922637939453125e+00,2.935210418701171875e+01,3.192997217178344727e+00,-2.463424682617187500e+00,3.509062194824218750e+01,-3.629650115966796875e+00
1.289916944503784180e+01,-6.172686100006103516e+00,2.778768348693847656e+01,1.272428750991821289e+00,-8.590937852859497070e-01,3.604865646362304688e+01,-1.608823657035827637e+00
1.291929340362548828e+01,-1.908046722412109375e+00,1.971523475646972656e+01,-1.573341250419616699e+00,1.385360240936279297e+00,3.590878677368164062e+01,1.058568477630615234e+00
1.293929910659790039e+01,4.163437485694885254e-01,1.002499866485595703e+01,-4.922814846038818359e+00,2.287188291549682617e+00,3.576216506958007812e+01,3.546065568923950195e+00
1.295976471900939941e+01,1.515676383860409260e-03,1.134703874588012695e+00,-7.672764778137207031e+00,3.187712430953979492e+00,3.474815368652343750e+01,5.019708633422851562e+00
1.297952342033386230e+01,-1.142603754997253418e+00,-5.683612346649169922e+00,-8.643745422363281250e+00,3.376600503921508789e+00,2.968413162231445312e+01,5.314029216766357422e+00
1.299929761886596680e+01,-1.211604833602905273e+00,-9.479651451110839844e+00,-8.286649703979492188e+00,3.118116140365600586e+00,2.366839218139648438e+01,4.913122653961181641e+00
1.301987028121948242e+01,-9.207942485809326172e-01,-1.048592758178710938e+01,-7.366891384124755859e+00,1.326324462890625000e+00,1.840704154968261719e+01,4.175097942352294922e+00
1.304038763046264648e+01,-4.751689434051513672e-01,-9.043052673339843750e+00,-5.980712890625000000e+00,4.306838810443878174e-01,1.438328552246093750e+01,3.120454311370849609e+00
1.306028723716735840e+01,1.122631877660751343e-01,-6.765202045440673828e+00,-4.629110813140869141e+00,-8.742609620094299316e-01,1.174934864044189453e+01,2.231160640716552734e+00
1.308024501800537109e+01,1.229622244834899902e+00,-3.872176885604858398e+00,-3.267733097076416016e+00,-4.317172050476074219e+00,1.044346332550048828e+01,1.071393370628356934e+00
1.310020184516906738e+01,2.665533304214477539e+00,-1.242883682250976562e+00,-1.878690123558044434e+00,-7.659306526184082031e+00,9.904957771301269531e+00,-1.296085417270660400e-01
1.312069392204284668e+01,-1.745311856269836426e+00,4.583097934722900391e+00,-7.974296808242797852e-01,-1.055930233001708984e+01,1.088208103179931641e+01,-1.277756690979003906e+00
1.314157867431640625e+01,-3.690704107284545898e-01,8.301332473754882812e+00,5.323150753974914551e-02,-1.357278823852539062e+01,1.433443164825439453e+01,-2.183581113815307617e+00
1.316176152229309082e+01,1.173466444015502930e+00,1.133797550201416016e+01,6.264303326606750488e-01,-1.412316703796386719e+01,1.797177886962890625e+01,-2.702284336090087891e+00
1.318136453628540039e+01,2.421132802963256836e+00,1.404204654693603516e+01,1.146519541740417480e+00,-1.160886764526367188e+01,2.128501510620117188e+01,-3.037997484207153320e+00
1.320164918899536133e+01,3.314960241317749023e+00,1.597230434417724609e+01,1.576668739318847656e+00,-3.175615549087524414e+00,2.383121871948242188e+01,-3.229471445083618164e+00
1.322079920768737793e+01,4.350305557250976562e+00,1.694960594177246094e+01,1.849650621414184570e+00,2.603821039199829102e+00,2.518517494201660156e+01,-3.367552995681762695e+00
