time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
2.723201751708984375e+01,-8.906250000000000000e+00,5.943862438201904297e+00,-3.209877729415893555e+00,-1.875000000000000000e+00,4.017560482025146484e+00,-1.341040730476379395e+00
2.723894643783569336e+01,-9.468750000000000000e+00,5.943862438201904297e+00,-3.209877729415893555e+00,-1.968750000000000000e+00,4.017560482025146484e+00,-1.341040730476379395e+00
2.725689959526062012e+01,4.743750000000000000e+01,8.362442016601562500e+00,-1.845871210098266602e+00,5.475000000000000000e+01,6.791336536407470703e+00,-1.933468699455261230e+00
2.727609062194824219e+01,-2.906250000000000000e+01,1.338881683349609375e+01,3.484758138656616211e+00,-8.625000000000000000e+00,1.324277877807617188e+01,-3.869987010955810547e+00
2.729607129096984863e+01,-2.934375000000000000e+01,1.414636039733886719e+01,4.723148345947265625e+00,-7.031250000000000000e+00,1.116521835327148438e+01,-4.914083480834960938e+00
2.731592297554016113e+01,-1.003125000000000000e+01,2.123572921752929688e+01,4.420937061309814453e+00,3.656250000000000000e+00,1.704997444152832031e+01,-3.988520860671997070e+00
2.733612322807312012e+01,-1.650000000000000000e+01,3.110512161254882812e+01,5.119262218475341797e+00,2.156250000000000000e+00,2.347431564331054688e+01,-5.783126831054687500e+00
2.735664010047912598e+01,-1.162500000000000000e+01,3.747595214843750000e+01,2.688550233840942383e+00,1.012500000000000000e+01,2.584311485290527344e+01,-4.545256614685058594e+00
2.737603855133056641e+01,-1.359375000000000000e+01,3.668870925903320312e+01,1.127783298492431641e+00,5.156250000000000000e+00,2.172173881530761719e+01,-1.933670878410339355e+00
2.739675807952880859e+01,-1.546875000000000000e+01,3.619523239135742188e+01,1.322299003601074219e+00,1.106250000000000000e+01,1.885001754760742188e+01,-7.041031718254089355e-01
2.741666579246520996e+01,-1.200000000000000000e+01,3.525792694091796875e+01,4.950447380542755127e-01,1.556250000000000000e+01,1.602073478698730469e+01,-2.293331623077392578e-01
2.743657708168029785e+01,-3.656250000000000000e+00,3.457456207275390625e+01,-3.001197576522827148e-01,1.462500000000000000e+01,1.210955810546875000e+01,4.337278604507446289e-01
2.745667886734008789e+01,-4.687500000000000000e-01,3.448827743530273438e+01,-3.596643805503845215e-01,1.546875000000000000e+01,1.155532169342041016e+01,8.363658785820007324e-01
2.747683835029602051e+01,5.906250000000000000e+00,3.369531250000000000e+01,-5.352564454078674316e-01,1.378125000000000000e+01,8.751913070678710938e+00,1.242045521736145020e+00
2.749655771255493164e+01,9.093750000000000000e+00,3.259734344482421875e+01,-1.664057821035385132e-01,1.228125000000000000e+01,9.054116249084472656e+00,1.005609154701232910e+00
2.751681661605834961e+01,6.281250000000000000e+00,2.840456581115722656e+01,5.033616721630096436e-02,3.000000000000000000e+00,4.880551815032958984e+00,5.897156000137329102e-01
2.753742575645446777e+01,3.000000000000000000e+00,3.109712219238281250e+01,1.003474235534667969e+00,-3.750000000000000000e-01,9.959336280822753906e+00,9.853715896606445312e-01
2.755687999725341797e+01,1.125000000000000000e+00,2.897719001770019531e+01,8.455008268356323242e-01,-1.875000000000000000e+00,9.490346908569335938e+00,5.628257393836975098e-01
2.757761073112487793e+01,4.687500000000000000e-01,3.068057060241699219e+01,1.674350500106811523e+00,-3.093750000000000000e+00,1.294300556182861328e+01,2.370023727416992188e-01
2.759780383110046387e+01,-3.750000000000000000e-01,3.295284271240234375e+01,2.589579820632934570e+00,-1.125000000000000000e+00,1.562837409973144531e+01,3.306205570697784424e-01
2.761723113059997559e+01,4.500000000000000000e+00,3.170963668823242188e+01,2.845655441284179688e+00,7.593750000000000000e+00,1.457109737396240234e+01,-2.706611156463623047e-01
2.763760066032409668e+01,9.375000000000000000e+00,3.206771469116210938e+01,3.076436758041381836e+00,1.171875000000000000e+01,1.666024398803710938e+01,-5.460219383239746094e-01
2.765780377388000488e+01,1.453125000000000000e+01,2.896268844604492188e+01,3.313963890075683594e+00,1.265625000000000000e+01,1.622412490844726562e+01,-1.553962588310241699e+00
2.767786741256713867e+01,1.434375000000000000e+01,2.535639572143554688e+01,3.132078170776367188e+00,1.275000000000000000e+01,1.597224140167236328e+01,-2.220345258712768555e+00
2.769802689552307129e+01,1.321875000000000000e+01,2.246761322021484375e+01,3.224782466888427734e+00,1.153125000000000000e+01,1.518465518951416016e+01,-2.847635269165039062e+00
2.771826958656311035e+01,9.750000000000000000e+00,2.042958450317382812e+01,3.065885305404663086e+00,1.031250000000000000e+01,1.473376750946044922e+01,-3.261336565017700195e+00
2.773866534233093262e+01,7.125000000000000000e+00,1.861952781677246094e+01,2.617430448532104492e+00,9.187500000000000000e+00,1.307128334045410156e+01,-3.547281503677368164e+00
2.775805139541625977e+01,5.437500000000000000e+00,1.675165176391601562e+01,2.408213853836059570e+00,7.875000000000000000e+00,1.151237106323242188e+01,-3.708685636520385742e+00
2.777867650985717773e+01,4.312500000000000000e+00,1.595918941497802734e+01,2.325233936309814453e+00,8.437500000000000000e+00,1.101095771789550781e+01,-3.784645318984985352e+00
2.779857563972473145e+01,4.593750000000000000e+00,1.657445907592773438e+01,2.165488719940185547e+00,8.718750000000000000e+00,1.217868709564208984e+01,-3.768433809280395508e+00
2.781860136985778809e+01,6.093750000000000000e+00,1.764570808410644531e+01,2.288268089294433594e+00,8.812500000000000000e+00,1.356896781921386719e+01,-3.739932298660278320e+00
2.783862257003784180e+01,7.968750000000000000e+00,1.928003120422363281e+01,2.590944051742553711e+00,9.468750000000000000e+00,1.558445358276367188e+01,-3.806149721145629883e+00
2.785866618156433105e+01,9.000000000000000000e+00,2.026731491088867188e+01,2.884196758270263672e+00,1.031250000000000000e+01,1.686531066894531250e+01,-3.693977355957031250e+00
2.788101649284362793e+01,7.968750000000000000e+00,2.280063819885253906e+01,3.256633996963500977e+00,1.115625000000000000e+01,1.972166824340820312e+01,-3.615563392639160156e+00
2.789950251579284668e+01,9.562500000000000000e+00,2.336431312561035156e+01,3.244094848632812500e+00,1.228125000000000000e+01,1.988988304138183594e+01,-3.461910247802734375e+00
2.791917753219604492e+01,9.750000000000000000e+00,2.437821197509765625e+01,3.316826105117797852e+00,1.237500000000000000e+01,2.131957435607910156e+01,-3.304476261138916016e+00
2.794027566909790039e+01,8.531250000000000000e+00,2.308496665954589844e+01,2.916800498962402344e+00,1.359375000000000000e+01,1.954546165466308594e+01,-3.202267169952392578e+00
2.796020150184631348e+01,7.406250000000000000e+00,2.566105651855468750e+01,3.516449928283691406e+00,1.396875000000000000e+01,2.310256385803222656e+01,-3.550346851348876953e+00
2.797962570190429688e+01,6.656250000000000000e+00,2.381809806823730469e+01,2.852846384048461914e+00,1.340625000000000000e+01,2.033832931518554688e+01,-3.197545051574707031e+00
2.799950337409973145e+01,7.031250000000000000e+00,2.398684310913085938e+01,2.896736145019531250e+00,1.293750000000000000e+01,1.978340911865234375e+01,-3.320830583572387695e+00
2.801993846893310547e+01,6.750000000000000000e+00,2.533966064453125000e+01,2.866638898849487305e+00,1.396875000000000000e+01,2.094397163391113281e+01,-3.507777214050292969e+00
