time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
3.065718245506286621e+01,-8.343750000000000000e+00,4.619809150695800781e+00,-6.170678138732910156e-01,-1.546875000000000000e+01,2.194808244705200195e+00,1.635646820068359375e+00
3.066339993476867676e+01,-7.781250000000000000e+00,4.676844596862792969e+00,-5.696327090263366699e-01,-1.500000000000000000e+01,2.194808244705200195e+00,1.635646820068359375e+00
3.068184256553649902e+01,5.418750000000000000e+01,7.471555709838867188e+00,-4.801464453339576721e-02,3.806250000000000000e+01,5.474845886230468750e+00,1.399872779846191406e+00
3.070088768005371094e+01,-2.259375000000000000e+01,1.180564022064208984e+01,3.414727687835693359e+00,-1.631250000000000000e+01,9.524997711181640625e+00,-4.377362728118896484e+00
3.072152972221374512e+01,-3.496875000000000000e+01,1.123857975006103516e+01,5.122589588165283203e+00,-1.471875000000000000e+01,1.082464027404785156e+01,-5.156471729278564453e+00
3.074075770378112793e+01,-1.968750000000000000e+01,1.518909549713134766e+01,4.711797237396240234e+00,1.875000000000000000e-01,1.500712680816650391e+01,-9.103659629821777344e+00
3.076102638244628906e+01,-1.565625000000000000e+01,1.845422172546386719e+01,4.948970317840576172e+00,-4.968750000000000000e+00,1.895736885070800781e+01,-2.419251680374145508e+00
3.078100585937500000e+01,-5.625000000000000000e+00,1.572319602966308594e+01,3.665956974029541016e+00,-1.837500000000000000e+01,1.820134162902832031e+01,-2.868439197540283203e+00
3.080158162117004395e+01,-5.343750000000000000e+00,1.139901351928710938e+01,1.315451383590698242e+00,-1.884375000000000000e+01,1.920242500305175781e+01,-2.059086322784423828e+00
3.082208442687988281e+01,-1.875000000000000000e-01,7.074307918548583984e+00,2.511620335280895233e-02,-1.978125000000000000e+01,1.939823722839355469e+01,-9.689873456954956055e-01
3.084295797348022461e+01,3.468750000000000000e+00,3.370741605758666992e+00,-5.869976878166198730e-01,-1.434375000000000000e+01,1.778231430053710938e+01,3.021306991577148438e-01
3.086286449432373047e+01,3.656250000000000000e+00,1.090679407119750977e+00,-1.001112699508666992e+00,-9.468750000000000000e+00,1.338199710845947266e+01,8.323488235473632812e-01
3.088262319564819336e+01,4.500000000000000000e+00,1.718177199363708496e+00,-7.484217286109924316e-01,-1.031250000000000000e+01,1.246497726440429688e+01,7.766358256340026855e-01
3.090280437469482422e+01,6.656250000000000000e+00,2.176842212677001953e+00,-8.998824954032897949e-01,-1.303125000000000000e+01,1.323098182678222656e+01,4.515021443367004395e-01
3.092296028137207031e+01,7.875000000000000000e+00,2.795966386795043945e+00,-8.233789801597595215e-01,-1.209375000000000000e+01,1.338398647308349609e+01,4.490084052085876465e-01
3.094257712364196777e+01,8.531250000000000000e+00,3.249645709991455078e+00,-8.719938397407531738e-01,-1.181250000000000000e+01,1.336969661712646484e+01,3.059551417827606201e-01
3.096299123764038086e+01,9.562500000000000000e+00,4.463140964508056641e+00,-8.591812252998352051e-01,-1.331250000000000000e+01,1.498675537109375000e+01,1.369879990816116333e-01
3.098297429084777832e+01,9.937500000000000000e+00,5.597083568572998047e+00,-8.513848781585693359e-01,-1.218750000000000000e+01,1.647960090637207031e+01,-2.264057993888854980e-01
3.100298619270324707e+01,9.093750000000000000e+00,6.567944049835205078e+00,-9.971282482147216797e-01,-1.350000000000000000e+01,1.844749450683593750e+01,-4.407730400562286377e-01
3.102227926254272461e+01,8.531250000000000000e+00,7.312301158905029297e+00,-1.363635540008544922e+00,-1.190625000000000000e+01,1.945561981201171875e+01,-7.618996500968933105e-01
3.104290318489074707e+01,7.687500000000000000e+00,7.561552047729492188e+00,-1.126831531524658203e+00,-9.187500000000000000e+00,2.007534599304199219e+01,-1.280224084854125977e+00
3.106277680397033691e+01,5.718750000000000000e+00,7.910909175872802734e+00,-6.646621227264404297e-01,-8.156250000000000000e+00,2.024518966674804688e+01,-1.565987706184387207e+00
3.108281016349792480e+01,5.531250000000000000e+00,8.950934410095214844e+00,-3.538827300071716309e-01,-1.781250000000000000e+00,2.051979637145996094e+01,-2.185499906539916992e+00
3.110237336158752441e+01,5.437500000000000000e+00,9.484257698059082031e+00,-1.794693917036056519e-01,2.718750000000000000e+00,2.063344192504882812e+01,-2.526117801666259766e+00
3.112271165847778320e+01,5.531250000000000000e+00,9.931796073913574219e+00,-1.804550737142562866e-02,2.531250000000000000e+00,2.038122940063476562e+01,-2.546677350997924805e+00
3.114275407791137695e+01,6.562500000000000000e+00,1.059022235870361328e+01,9.427765011787414551e-01,1.312500000000000000e+00,2.024280929565429688e+01,-2.525610446929931641e+00
3.116312074661254883e+01,6.375000000000000000e+00,1.081818675994873047e+01,8.327671289443969727e-01,3.468750000000000000e+00,2.001968383789062500e+01,-2.529066085815429688e+00
3.118313837051391602e+01,6.656250000000000000e+00,1.095488929748535156e+01,9.919142723083496094e-01,3.375000000000000000e+00,2.024300384521484375e+01,-2.429366111755371094e+00
3.120341253280639648e+01,5.906250000000000000e+00,1.151648712158203125e+01,1.052571058273315430e+00,3.000000000000000000e+00,2.041005516052246094e+01,-2.571140766143798828e+00
3.122365999221801758e+01,4.593750000000000000e+00,1.185270309448242188e+01,1.127143383026123047e+00,2.343750000000000000e+00,2.063317871093750000e+01,-2.567686080932617188e+00
3.124342513084411621e+01,3.375000000000000000e+00,1.194756031036376953e+01,1.195026397705078125e+00,2.718750000000000000e+00,2.071558761596679688e+01,-2.687587499618530273e+00
3.126390147209167480e+01,4.125000000000000000e+00,1.205782032012939453e+01,1.343332409858703613e+00,2.531250000000000000e+00,2.082701301574707031e+01,-2.685981750488281250e+00
