time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
3.289305257797241211e+01,-1.759352326393127441e+00,-2.677614927291870117e+00,-3.723453581333160400e-01,-1.728361487388610840e+00,-2.654790401458740234e+00,-2.127143144607543945e-01
3.289966559410095215e+01,-1.759352326393127441e+00,-2.677614927291870117e+00,-3.723453581333160400e-01,-1.728361487388610840e+00,-2.654790401458740234e+00,-2.127143144607543945e-01
3.291797232627868652e+01,9.624084472656250000e+01,-9.041767716407775879e-01,8.676630258560180664e-02,9.272665405273437500e+01,-3.739455640316009521e-01,-6.469869613647460938e-01
3.293651342391967773e+01,-1.507293796539306641e+01,5.296258926391601562e+00,3.867531776428222656e+00,-1.498751878738403320e+00,5.110127925872802734e+00,-2.767151832580566406e+00
3.295670080184936523e+01,-2.209937095642089844e+01,6.582121372222900391e+00,4.504743099212646484e+00,-7.070172786712646484e+00,7.093323230743408203e+00,-3.050234079360961914e+00
3.297697544097900391e+01,-6.877712726593017578e+00,7.029667377471923828e+00,4.182008743286132812e+00,-6.180312633514404297e-01,8.092153549194335938e+00,-2.507976055145263672e+00
3.299699449539184570e+01,-1.312588787078857422e+01,3.562584161758422852e+00,3.497267484664916992e+00,-1.096138286590576172e+01,3.932568073272705078e+00,-2.387825012207031250e+00
3.301705551147460938e+01,-2.657465553283691406e+01,5.755431652069091797e+00,3.942858934402465820e+00,-1.884992599487304688e+01,6.617126464843750000e+00,-3.032750368118286133e+00
3.303774285316467285e+01,-2.480821228027343750e+01,6.652604579925537109e+00,2.498653650283813477e+00,-1.756692314147949219e+01,8.847546577453613281e+00,-1.603694200515747070e+00
3.305729222297668457e+01,-1.902099418640136719e+01,1.033323478698730469e+01,2.216519355773925781e+00,-1.693883514404296875e+01,1.283424282073974609e+01,-1.149044990539550781e+00
3.307780718803405762e+01,-5.812912464141845703e+00,1.252700042724609375e+01,2.040255784988403320e+00,-1.081988716125488281e+01,1.610844039916992188e+01,-1.418240815401077271e-01
3.309783029556274414e+01,-6.469140052795410156e+00,1.287737560272216797e+01,3.296108245849609375e+00,-6.835656642913818359e+00,1.953288078308105469e+01,-5.839968323707580566e-01
3.311784529685974121e+01,-8.767565727233886719e+00,1.254900169372558594e+01,5.699100017547607422e+00,-9.728820800781250000e+00,2.124173927307128906e+01,-1.928215742111206055e+00
3.313779854774475098e+01,1.129081344604492188e+01,1.313522911071777344e+01,6.842025756835937500e+00,-2.484721422195434570e+00,2.191870117187500000e+01,-1.002276301383972168e+00
3.315810394287109375e+01,6.018296813964843750e+01,1.165333843231201172e+01,4.519665241241455078e+00,3.673515701293945312e+01,1.954006958007812500e+01,1.377272367477416992e+00
3.317921471595764160e+01,5.799124145507812500e+01,7.665349960327148438e+00,-3.682535886764526367e+00,5.587193298339843750e+01,1.109585666656494141e+01,5.071286201477050781e+00
3.319851660728454590e+01,7.941022491455078125e+01,-2.963014841079711914e+00,-3.783551692962646484e+00,8.287713623046875000e+01,-5.047982692718505859e+00,2.642453432083129883e+00
3.321848773956298828e+01,1.413757629394531250e+02,-1.224119949340820312e+01,7.482575416564941406e+00,1.394733428955078125e+02,-7.961165428161621094e+00,-8.933118820190429688e+00
3.323855257034301758e+01,7.737529754638671875e+01,1.601564979553222656e+01,7.178959846496582031e+00,3.751202392578125000e+01,2.063773155212402344e+01,-1.022986316680908203e+01
3.325854039192199707e+01,-1.343248462677001953e+01,1.470583629608154297e+01,6.636253356933593750e+00,-5.023923492431640625e+01,1.559539794921875000e+01,-7.086393356323242188e+00
3.327886700630187988e+01,7.797731781005859375e+01,-6.334000229835510254e-01,6.175836563110351562e+00,4.110165786743164062e+01,-6.792157173156738281e+00,-7.738111972808837891e+00
3.329893279075622559e+01,-1.483978366851806641e+01,4.298562526702880859e+00,5.812230587005615234e+00,-5.206089782714843750e+01,1.136315345764160156e+00,-1.016939258575439453e+01
3.331892824172973633e+01,-2.431322479248046875e+01,-4.551983833312988281e+00,5.383576869964599609e+00,-4.652023696899414062e+01,-9.491463661193847656e+00,-7.003125667572021484e+00
3.333896374702453613e+01,2.139080810546875000e+01,-1.104534268379211426e+00,1.910783886909484863e+00,1.671064376831054688e+01,-6.737348079681396484e+00,-4.925816059112548828e+00
3.335952877998352051e+01,-6.478805541992187500e+01,-7.644590854644775391e+00,2.413333177566528320e+00,-6.244825744628906250e+01,-1.282567119598388672e+01,-4.664635658264160156e+00
3.337939620018005371e+01,-5.989903640747070312e+01,-1.012353420257568359e+01,-9.445993304252624512e-01,-1.763181304931640625e+01,-1.640439605712890625e+01,-4.927397727966308594e+00
3.339954257011413574e+01,-4.787348175048828125e+01,-5.868803501129150391e+00,-1.957922697067260742e+00,-9.503469467163085938e+00,-1.028532409667968750e+01,-2.458780050277709961e+00
3.341943597793579102e+01,-3.446986007690429688e+01,-1.997449398040771484e+00,-2.426903247833251953e+00,9.224100708961486816e-01,-6.107676982879638672e+00,-1.891674101352691650e-01
3.343951320648193359e+01,-4.435213088989257812e+01,-4.058083057403564453e+00,-1.184949517250061035e+00,-3.224497795104980469e+00,-4.434556484222412109e+00,7.050806879997253418e-01
3.345958089828491211e+01,-5.736986923217773438e+01,-1.506510639190673828e+01,-2.268990993499755859e+00,1.799422836303710938e+01,-4.830922782421112061e-01,3.977959156036376953e+00
3.347976469993591309e+01,-7.857778930664062500e+01,-9.159520149230957031e+00,2.531890869140625000e+00,-1.816347312927246094e+01,8.464781761169433594e+00,-3.195606768131256104e-01
3.350017857551574707e+01,-7.729598236083984375e+01,3.141572952270507812e+00,5.655392169952392578e+00,-3.820999526977539062e+01,1.703346252441406250e+01,-5.042754650115966797e+00
3.351998114585876465e+01,-7.005550384521484375e+01,9.625670433044433594e+00,9.701196670532226562e+00,-3.853640747070312500e+01,2.443402862548828125e+01,-1.118992519378662109e+01
3.354012107849121094e+01,-4.927845764160156250e+01,1.427095127105712891e+01,9.883063316345214844e+00,-2.042952346801757812e+01,2.740821838378906250e+01,-1.048604583740234375e+01
3.356046748161315918e+01,3.729911565780639648e+00,1.859007453918457031e+01,9.898121833801269531e+00,1.525494694709777832e+00,2.492951965332031250e+01,-9.860844612121582031e+00
3.358057546615600586e+01,5.438032150268554688e+01,2.237849998474121094e+01,5.570846796035766602e-01,1.128851928710937500e+02,1.817221260070800781e+01,-2.432038068771362305e+00
3.360082411766052246e+01,7.339530944824218750e+01,2.540982818603515625e+01,-1.109825134277343750e+01,1.113369293212890625e+02,1.476126861572265625e+01,1.227090072631835938e+01
3.362063646316528320e+01,7.750601196289062500e+01,-4.621748447418212891e+00,3.945354223251342773e+00,7.596175384521484375e+01,-7.075872898101806641e+00,-4.438807964324951172e+00
3.364100003242492676e+01,3.279899215698242188e+01,8.158253669738769531e+00,4.764704227447509766e+00,6.547492980957031250e+01,1.012220764160156250e+01,-5.124157905578613281e+00
3.366072916984558105e+01,-8.805292510986328125e+01,-4.363622516393661499e-03,4.288737297058105469e+00,-7.105842590332031250e+01,-3.967976570129394531e+00,-3.108054161071777344e+00
3.368090367317199707e+01,3.471631050109863281e+00,-4.267878055572509766e+00,-3.650649189949035645e-01,7.439930915832519531e+00,-1.177898406982421875e+01,1.155770301818847656e+00
3.370083475112915039e+01,-2.041357421875000000e+01,-7.409305095672607422e+00,-1.237795233726501465e+00,-2.278505516052246094e+01,-1.290077209472656250e+01,8.027359247207641602e-01
3.372128057479858398e+01,-3.615071868896484375e+01,-1.320151615142822266e+01,7.162833809852600098e-01,-3.588908004760742188e+01,-1.659739685058593750e+01,-4.989410042762756348e-01
3.374146127700805664e+01,-1.880233955383300781e+01,-1.039669609069824219e+01,1.756259441375732422e+00,-1.174914836883544922e+01,-1.257819080352783203e+01,-1.382950901985168457e+00
3.376156806945800781e+01,1.685278129577636719e+01,-2.695703804492950439e-01,-2.179375648498535156e+00,1.339202404022216797e+01,-3.869339466094970703e+00,1.969048738479614258e+00
3.378136920928955078e+01,5.236499309539794922e+00,5.653149127960205078e+00,-4.025304317474365234e+00,-6.428569793701171875e+00,-7.095850110054016113e-01,3.058113336563110352e+00
3.380127239227294922e+01,-2.409984397888183594e+01,3.325064420700073242e+00,-3.050884008407592773e+00,-2.728808975219726562e+01,-1.205212354660034180e+00,3.415914535522460938e+00
3.382145690917968750e+01,-3.222091674804687500e+01,4.996634483337402344e+00,2.512242794036865234e+00,-2.828081703186035156e+01,2.456279516220092773e+00,-1.106202363967895508e+00
3.384175014495849609e+01,-3.839852523803710938e+01,7.821148872375488281e+00,5.016981124877929688e+00,-3.535662841796875000e+01,8.363218307495117188e+00,-4.204649448394775391e+00
