time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
2.694186520576477051e+01,3.528330564498901367e+00,1.199401021003723145e+00,1.843927055597305298e-01,9.675578474998474121e-01,1.204104185104370117e+00,4.666847586631774902e-01
2.694898915290832520e+01,3.528330564498901367e+00,1.199401021003723145e+00,1.843927055597305298e-01,9.675578474998474121e-01,1.204104185104370117e+00,4.666847586631774902e-01
2.696795821189880371e+01,1.008330841064453125e+02,3.207277059555053711e+00,5.809416770935058594e-01,9.557467651367187500e+01,3.711249113082885742e+00,6.399047560989856720e-03
2.698632597923278809e+01,-1.622200584411621094e+01,9.737756729125976562e+00,4.625507831573486328e+00,-4.446557521820068359e+00,8.765901565551757812e+00,-3.948551893234252930e+00
2.700703310966491699e+01,-2.769686317443847656e+01,1.094994354248046875e+01,5.743997573852539062e+00,-1.035805797576904297e+01,1.119475650787353516e+01,-4.876898288726806641e+00
2.702697801589965820e+01,-1.706413650512695312e+01,8.970202445983886719e+00,5.553087711334228516e+00,-6.130098819732666016e+00,1.009568405151367188e+01,-4.427180767059326172e+00
2.704712343215942383e+01,-2.563455009460449219e+01,8.222913742065429688e+00,4.784087181091308594e+00,-1.674952888488769531e+01,9.557895660400390625e+00,-3.778457403182983398e+00
2.706629490852355957e+01,-3.725449371337890625e+01,1.014241600036621094e+01,4.411736011505126953e+00,-2.327527618408203125e+01,9.384256362915039062e+00,-3.118312597274780273e+00
2.708638477325439453e+01,-3.297092056274414062e+01,1.300857830047607422e+01,3.678199768066406250e+00,-1.849217605590820312e+01,1.284241771697998047e+01,-2.287512063980102539e+00
2.710607051849365234e+01,-9.479082107543945312e+00,1.818842124938964844e+01,3.516398191452026367e+00,1.541707754135131836e+00,2.273315811157226562e+01,-2.113895416259765625e+00
2.712651062011718750e+01,1.968115806579589844e+01,2.136775398254394531e+01,3.504998683929443359e+00,1.809466361999511719e+01,2.823470497131347656e+01,-1.385125756263732910e+00
2.714666175842285156e+01,6.548854064941406250e+01,2.227224540710449219e+01,3.498396277427673340e-01,5.639804077148437500e+01,2.946216964721679688e+01,2.185421466827392578e+00
2.716706919670104980e+01,5.591702270507812500e+01,1.502742290496826172e+01,-5.478554248809814453e+00,5.782905960083007812e+01,2.795643424987792969e+01,5.248348236083984375e+00
2.718830752372741699e+01,7.415157318115234375e+01,7.510411143302917480e-01,-5.132301330566406250e+00,6.855218505859375000e+01,8.837649345397949219e+00,3.780305862426757812e+00
2.720820760726928711e+01,9.975788116455078125e+01,-1.194004440307617188e+01,5.577596187591552734e+00,1.032713394165039062e+02,-6.355044364929199219e+00,-5.789084434509277344e+00
2.722886443138122559e+01,2.777142143249511719e+01,6.914722919464111328e+00,8.740602493286132812e+00,2.721400070190429688e+01,1.756811141967773438e+01,-9.713006019592285156e+00
2.724802160263061523e+01,2.461660385131835938e+01,7.450675964355468750e+00,8.018119812011718750e+00,7.853906154632568359e+00,8.125462532043457031e+00,-7.709784507751464844e+00
2.726808643341064453e+01,-2.244601440429687500e+01,1.811854481697082520e+00,7.332287311553955078e+00,-4.591183090209960938e+01,1.080302596092224121e+00,-5.877911567687988281e+00
