time,L_knee,L_ankle_pitch,L_ankle_roll,R_knee,R_ankle_pitch,R_ankle_roll
2.134758973121643066e+01,-8.343750000000000000e+00,5.777252197265625000e+00,-1.437724709510803223e+00,-8.437500000000000000e+00,4.999732494354248047e+00,-4.579270780086517334e-01
2.135437583923339844e+01,-8.718750000000000000e+00,5.777252197265625000e+00,-1.437724709510803223e+00,-8.156250000000000000e+00,4.999732494354248047e+00,-4.579270780086517334e-01
2.137297415733337402e+01,5.559375000000000000e+01,8.697058677673339844e+00,-9.021267890930175781e-01,4.706250000000000000e+01,7.897570133209228516e+00,-4.960469901561737061e-01
2.139149308204650879e+01,-2.812500000000000000e+01,1.475871753692626953e+01,2.962800264358520508e+00,-1.584375000000000000e+01,1.488300037384033203e+01,-3.554209947586059570e+00
2.141140484809875488e+01,-3.571875000000000000e+01,1.544699287414550781e+01,4.954271316528320312e+00,-1.443750000000000000e+01,1.439905929565429688e+01,-5.342082023620605469e+00
2.143132662773132324e+01,-2.025000000000000000e+01,2.121309852600097656e+01,5.409711360931396484e+00,-1.031250000000000000e+00,2.068088722229003906e+01,-4.890530109405517578e+00
2.145214724540710449e+01,-1.490625000000000000e+01,2.616988563537597656e+01,5.653434753417968750e+00,7.218750000000000000e+00,2.451390075683593750e+01,-5.796025753021240234e+00
2.147228837013244629e+01,-1.134375000000000000e+01,3.090781211853027344e+01,4.660923480987548828e+00,6.281250000000000000e+00,2.803689956665039062e+01,-5.027230262756347656e+00
2.149202513694763184e+01,-1.162500000000000000e+01,3.151278305053710938e+01,3.108645915985107422e+00,3.281250000000000000e+00,2.906495094299316406e+01,-2.907441616058349609e+00
2.151225352287292480e+01,-8.343750000000000000e+00,3.100499916076660156e+01,2.632000207901000977e+00,9.187500000000000000e+00,3.028019905090332031e+01,-2.904242277145385742e+00
2.153240799903869629e+01,-2.625000000000000000e+00,3.036219787597656250e+01,3.213736057281494141e+00,1.293750000000000000e+01,3.056450653076171875e+01,-4.723016738891601562e+00
2.155256581306457520e+01,7.500000000000000000e-01,2.929068565368652344e+01,2.947509765625000000e+00,1.200000000000000000e+01,3.013421058654785156e+01,-4.023501873016357422e+00
2.157226562500000000e+01,1.593750000000000000e+00,2.611548233032226562e+01,2.699152469635009766e+00,1.350000000000000000e+01,2.791655921936035156e+01,-3.945545673370361328e+00
2.159265136718750000e+01,3.281250000000000000e+00,2.369536781311035156e+01,2.442223072052001953e+00,1.406250000000000000e+01,2.658295631408691406e+01,-3.611883163452148438e+00
2.161408209800720215e+01,5.625000000000000000e+00,2.281262588500976562e+01,2.390359878540039062e+00,1.443750000000000000e+01,2.617616081237792969e+01,-3.515915632247924805e+00
2.163434958457946777e+01,5.625000000000000000e+00,2.236341857910156250e+01,2.309814214706420898e+00,9.000000000000000000e+00,2.614803123474121094e+01,-3.540726661682128906e+00
2.165438961982727051e+01,4.593750000000000000e+00,2.135335350036621094e+01,2.056874752044677734e+00,8.156250000000000000e+00,2.666195678710937500e+01,-3.819009780883789062e+00
2.167447209358215332e+01,2.062500000000000000e+00,2.054604339599609375e+01,1.874399423599243164e+00,9.093750000000000000e+00,2.625622940063476562e+01,-3.821097850799560547e+00
2.169424057006835938e+01,1.031250000000000000e+00,2.071362876892089844e+01,2.012264966964721680e+00,9.093750000000000000e+00,2.604947853088378906e+01,-3.743690013885498047e+00
2.171463489532470703e+01,1.875000000000000000e+00,2.084708213806152344e+01,2.085239648818969727e+00,1.209375000000000000e+01,2.603510284423828125e+01,-3.686606168746948242e+00
2.173403930664062500e+01,1.593750000000000000e+00,2.050859642028808594e+01,2.096298217773437500e+00,1.612500000000000000e+01,2.586692810058593750e+01,-4.077939510345458984e+00
2.175417995452880859e+01,3.187500000000000000e+00,2.054016494750976562e+01,2.325594425201416016e+00,1.940625000000000000e+01,2.572756576538085938e+01,-3.866379737854003906e+00
2.177525663375854492e+01,4.781250000000000000e+00,2.097195053100585938e+01,2.421804428100585938e+00,1.837500000000000000e+01,2.583947753906250000e+01,-3.669632673263549805e+00
2.179520344734191895e+01,5.718750000000000000e+00,2.136443901062011719e+01,2.646590232849121094e+00,1.640625000000000000e+01,2.583947753906250000e+01,-3.669632673263549805e+00
